publishedAt,authorDisplayName,comments_data,likeCount
2024-01-15T05:11:44Z,@msyafii2494,"<a href=""https://www.youtube.com/watch?v=KJdt-HBBGIo&amp;t=2h22m06s"">2:22:06</a> Anies gobl0k",0
2024-01-15T05:03:06Z,@campinglah5736,"pak brabowo disini sengaja dipancing2. kenapa pak prabowo doang yg dicecer, ini pda takut yak haha",0
2024-01-15T04:42:46Z,@syifaalfauzia,kok hampir semua jawaban pak prabowo gak nyambung ya🥲🥲🥲🥲,0
2024-01-15T03:01:42Z,@ElectricAirConditioners,"<a href=""https://www.youtube.com/watch?v=KJdt-HBBGIo&amp;t=2h53m08s"">2:53:08</a>",0
2024-01-15T03:00:07Z,@Goliath-gc6ol,"Panitia debat tdk fair, harusnya tidak bisa dialog langsung antara paslon sebelum waktu bicara habis bg masing2",0
2024-01-15T02:36:38Z,@sukmawatisukmawati1909,Dan Kepunyaan Allah Lah tentera langit dan bumi Dan Adalah Allah Maha Perkasa lagi Maha Bijaksana. Waliilaahi junuudus samaawaati wal ardhi wakaanallaahu aziizaan hakiimaa. Surat alkuran Al fath (kemenangan).aamiin aamiin.❤❤,0
2024-01-15T02:29:13Z,@sukmawatisukmawati1909,Tanah Air INDONESIA ini surga Allah yang beragama Islam. Dan titipan Warisan Allah harus beragama Islam dilimpahkan Rezekynya Allah Maha Mengetahui Maha bijaksana. Aamiin aamiin Ya Allah Ya Rabbalalamiin.❤❤,0
2024-01-15T02:21:29Z,@elysiakianlun3759,Anies Baswedan calon penerus prabowo yg bakal maju berkali kali nyalon capres. Nanti 2028 anies nyapres lg setelah 2024 gagal.,0
2024-01-15T02:20:13Z,@sukmawatisukmawati1909,InsyaAllah sesungguhnya Allah memberikan kemenangan yang nyata ditahun 2024m pemilihan pemilu kepada BAPAK PRABOWO SUBIANTO MENJADI PRESIDEN PEMIMIN NEGARA INDONESIA.AAMIINAAMIIN.❤❤,0
2024-01-15T01:55:20Z,@sukmawatisukmawati1909,Maafkanlah dan ampunilah sukmawati.,0
2024-01-15T01:53:55Z,@sukmawatisukmawati1909,Karena saya sukmawati dikatan oleh kakek namanya kusdisaleh sukmawati pembawa rezeky<br> Kakek bilangnya sukmawati baik hatinya nada suaranya tenang selalu berdoa kepada Allah saya anak beragama Islam.  Dan karena saya dulu sekolah SDN dan ibu guru memberi pembahasan tentang BAHASAnya dikatakan Harus Menang INDONESIA MERDEKA. Inilah kisah nyatanya yang sesungguhnya jaman dulu dan. Sekarang aku orang TUA masih ingat kepada tanah air Indonesia. Usianya lansia sudah 65 dithn 2023 m. Dan sekarang tahun 2024m 66thn.❤😂,0
2024-01-15T01:21:06Z,@elisabetbillie5821,Model Anis mau hapus penjajahan hahahahahahaha,0
2024-01-15T01:17:02Z,@sukmawatisukmawati1909,Bapak Prabowo subianto dan Allah akan memberi Rahmat Amanah menjadi Presiden. Namun Kasih Nian Syilakan Bapak Prabowo Subianto malaikat juga tahu Bapak Prabowo Subianto menjadi an juaranya Presiden INDONESIA.  Pemilihan pemilu Kepada Bapak Prabowo Subianto nilainya tinggi menjadi PRESIDEN INDONESIA. AAMIIN AAMIIN.,0
2024-01-15T00:49:56Z,@Gambreng857,"Masyaallah daging semua isinya<br>konsep perputaran ekonominya dahsyar.. real itu yg harus dijalankan jasa keuangan juta.. jangan maunya kerja santai margin tebel dan aman saja..<br>harus cari yg berimpact real<br><br>kepemimpinan nya juga humanis sekali.. tersentuh sekali dengan atensi daycarenya dan jg menyikapi keramaian suara anak yg timbul dengan konen sederhana &quot;it&#39;s wonderful, isn&#39;t it?&quot;<br><br>semoga Pak Lembong bs segera login jg.. Yahdikumullahu Pak.. aamiin",0
2024-01-14T19:19:17Z,@m.iqbalramdhanitsm7719,"Semakin yakin dengan pilihan saya, Semoga AMIN menang satu putaran. Semoga KPU nya jujur, adil, terbuka dan netral ya. Kapolri dan TNI juga harus netral. Semoga AMIN bisa jadi presiden selanjutnya...",0
2024-01-14T16:21:18Z,@anzalnacavalera1706,"Siapapun presidennya kalau sistem yg dipakai buatan manusia, pasti tidak ada ketentraman.<br><br>Allah menciptakan manusia berserta peraturan yg tertulis di dalam Al-Qur&#39;an dan Sunnah<br><br>Inilah yg harus kita perjuangkan, melanjutkan kehidupan Islam, dan menjadi rahmatan Lil alamin. Bukan hanya untuk muslim tapi untuk non muslim",0
2024-01-14T13:30:24Z,@sitinurulfuadah4724,"Di menit satu jam 28 menit ada yang di cut, padahal pengen nyimak apa yang dikatakan capres no urut 1 😅",0
2024-01-14T11:25:56Z,@NAUFALAlRasyid,Assalamualaikum. Saya berdoa pak prabowo dan mas gibran terpilih menjadi pemimpin indonesia di era ini .AMIN,1
2024-01-14T09:02:03Z,@PrediksiBUNGDG22,ALL IN 02 🔥🔥🔥<br><br>ANIES Cocok&#39;e dadi DOSEN wae..<br>GANJAR cocok&#39;e dadi MOTIVATOR ASN wae..,0
2024-01-14T06:42:09Z,@AyukWahyuni-oz3yi,Bagai mana pun aku tetap pilih no2 bapak probowo,0
2024-01-14T06:19:09Z,@abdansakhasyakura3219,Sangat sedih ketika Gaza yang saat ini sedang berjuang malah dijadikan perumpamaan😢,0
2024-01-14T06:11:02Z,@kalangkongsarajena4852,"Kesini pak ANIS bagiku dia makin terpuruk,sgt disayangkan dg adanya penyampaian anda disini pak.<br>Aku pribadi makin yakin utk memilih pak PRABOWO",0
2024-01-14T06:08:39Z,@kalangkongsarajena4852,Pak PRABOWO...!!!<br>Pak PRABOWO...!!!<br>Pak PRABOWO...!!!,0
2024-01-14T06:06:14Z,@kalangkongsarajena4852,"<a href=""https://www.youtube.com/watch?v=KJdt-HBBGIo&amp;t=1h31m13s"">1:31:13</a> _ Lihat dan dengar penyampaian Pak Anis yg langsung menyerang pak Prabowo.<br>Kurang etis penyampaiannya.<br>Aku pribadi makin yakin kl pak PRABOWO pilihanku  dan yg akn jadi peminpin terbaik negeri kita tercinta ini.",0
2024-01-14T05:37:32Z,@kalangkongsarajena4852,Pak PRABOWO...Pak PRABOWO...Pak PRABOWO...!!!,0
2024-01-14T02:52:17Z,@riaanabilasss.05,Bismillah sehat2 selalu semuanya terutama 02 semangat pak,0
2024-01-14T00:58:09Z,@rifaal5294,"pesan almarhum GUS DUR tetap selalu aku ingat, &quot; orang yang benar2 memikirkan rakyat ya prabowo &quot; tapi karena partai penggerus amanat rakyat berkuasa ya gimana lagi.lontaran kata2 MISI,VISI sich ok,tapi semua demi kekuasaan bukan rakyat.salam dari pedagang kecil yang selalu bersyukur tanpa makan duit orang.",0
2024-01-13T20:11:02Z,@ariaman8884,Betul non.tradisi sebab,0
2024-01-13T20:09:26Z,@ariaman8884,Pertahanan prabowo suruh turun dan diam,0
2024-01-13T20:08:09Z,@ariaman8884,Hecker yg bisa dkatakan hecekr hanya indonesia  tapi knapa bisa bobol indo t8dak sedikit yg pintar.mngkin ad mksud.lain usahakan bisniskah bisa....asal d bayar,0
2024-01-13T20:05:37Z,@ariaman8884,Knapa pas sy coba benar bablas bahaya,0
2024-01-13T20:05:06Z,@ariaman8884,Sy dan tni ga boleh ikut mncoblos persiden atau milih persiden,0
2024-01-13T17:50:45Z,@surahmansurahman1344,Takut pemimpin emosi kyak begini,0
2024-01-13T17:36:42Z,@surahmansurahman1344,Emosi juga tidak bagus klw pemimpin emosian tidak bagus,0
2024-01-13T17:01:23Z,@andjarandra4335,Debat yg tidak Fair menurut saya,0
2024-01-13T16:45:08Z,@user-tv8js1xi9m,No 3 juaranya,0
2024-01-13T16:12:08Z,@MaaKuunSaaaan,Baper amaat pak prabowo😂,1
2024-01-13T15:48:03Z,@SERGEEYYY,Anis for presiden,0
2024-01-13T13:29:39Z,@user-rg3xq4iu2y,"Biasanya yng pintar ngebacot itu bnyak bohongnya,kami rakyat ga butuh janji tpi butuh bukti insa Allah thun 2024 PRABOWO GIBRAN pemenangnya karena dia yng memang pantas jdi presiden insa Allah rakyat tenang tentram dan sejahtera dan kami sebagai rakyat bangga sudah memilih mu bpa prabowo semangat amin🤲🤲🤲🤲",0
2024-01-14T06:20:17Z,@abdansakhasyakura3219,Palak kau ngebacot,0
2024-01-13T11:00:31Z,@Nizam482,"Tetap Anak muda itu All in prabowo..............................tapi booong Prabowo si abisius gak pantas jadi presiden  thn 1998 ada seorang siswa yang di tembak prabiwo, dasar si pembunuh",0
2024-01-13T08:42:41Z,@yosar1797,"Debat macam apa ini,yg seharusnya saling unjuk gigi atas kinerja2 sebelumnya yg telah di jalankan ini palah ke sinetron bawang putih sama bawang merah 😂",0
2024-01-13T07:17:25Z,@roniferiansyah8517,"Beri masukan gpp kan😂 Menurut saya si lebih kan lah lagi waktu menjawabnya masa cuma 1 menit doang 😂 lama ngambil pertanyaan,x dari pada menit menjawab para capres 😂 lagi rame ramenya eh dah ganti pertanyaan 😂",0
2024-01-13T06:44:02Z,@satusenarofficial,goof,0
2024-01-13T05:12:58Z,@FRHN-is4xw,"Omon omon keras di luar, masuk forum debat lembek mewek mewek...",0
2024-01-13T05:09:54Z,@ANUGRAHCHANEL30,pak prabowo ttp di hati ❤❤,0
