publishedAt,authorDisplayName,comments_data,likeCount
2023-12-31T04:56:46Z,@rozanvickry7783,Tetap si GEMOY🤘🏻 02,0
2023-12-31T02:50:13Z,@user-tn8ll4vk8u,luar biasa gibran bicaranya jelas dan terarah,0
2023-12-31T02:10:22Z,@izachlussy9327,Yg saya takut nantinya ada banyak kelebihan bayar dan bisa buat perusahan AIBON klo AMIN jadi presiden,0
2023-12-31T02:04:54Z,@user-dq7xl1wd1c,Pemrintah. di. Indonesia. Sdh. Kaya. Masih. di. Berikan. Kartu. Kredit. Bagai. Mana. Negara. Ini. Tidah. Tamba. Miskin. Itu. Yg. Terjadi. di. Indonesia.,0
2023-12-31T01:33:24Z,@user-fw5jm4ur7b,Pilih nomer 01 selama 5th makan JANJI.<br>Pilih nomer 2 takut KORUPSI. Masih lampaunya aja udah beli pendukung. <br>Jelas aku pilih nomer 03. Jelas tiada rekam jejaknya.,0
2023-12-30T18:45:57Z,@gatutpriandanapriandana8368,Pak mahfud orang madura ya . . Kurang cluritnya pak. Biar musuh lebih takut . . . Pak pak eman masuk politik,0
2023-12-30T17:02:34Z,@sidikhaproject,"Pada no mer,, 2 ....<br>Sudah jelas pendukung no 2 bnyak,, menang no 2 nanti dh ketebak",0
2023-12-30T16:40:23Z,@bernadusahayon90,Hidup anak mudah,0
2023-12-30T16:03:09Z,@user-dx7ni5jz8k,Gibran lu keren bgt sumpah🤙🏻kalau kalah juga dhla goodbye Indonesia,0
2023-12-30T13:43:40Z,@dewabuana9128,"Cawapres no 1 bilang punya pemikiran yg sama , tapi mengapa dengan datang imigran gelap yaitu rohingya yg datang ke indonesia capresnya bilang menerima tapi cawapresnya bilang menolak, nah gimana ini ?? Itu baru satu masalah yg saat ini baru dihadapi oleh warga aceh",0
2023-12-30T13:21:06Z,@user-dq1kg5yq5h,Jgn lupa pilih no 2😊,0
2023-12-30T13:06:01Z,@umbudekysipul6250,Pak Mahmud bercerita bukan menyampaikan visi dan misi🤦‍♂️,0
2023-12-30T11:51:53Z,@user-pk1ze4md6h,Dengan adanya ini saya lebih baik pilih nomor dua wkwkw,0
2023-12-30T11:49:11Z,@andiratulangi7658,good GIBRAN❤,0
2023-12-30T10:42:13Z,@qhon1,stunting naon sih? peran pengganti?,0
2023-12-30T09:47:42Z,@faduhusalaia8570,MD top,0
2023-12-30T09:37:53Z,@home234property,Luar biasa gibran,0
2023-12-30T08:59:23Z,@bunyomannyoman5811,"Mas gibran  menyebut wakil presiden yg lebih tua kurang sopan,pangil pak dong",0
2023-12-30T08:52:47Z,@user-vh9ry9lh9n,Cak Imin jika ingin perubahan hendaknya mendukung IKN bukannya gak setuju adanya IKN kalau gitu kan gag ada perubahan trus yg akan dirubah apa Ya? apa lebih baik atau sebaliknya.,0
2023-12-30T08:02:14Z,@Situmorang715,"Kalo pajak diturunkan yang ada Indonesia ini inflasi omm! Karna kalo dibilang pajak diturunkan dikalangan menengah yang akan dapat pasti kalangan atas, ingat itu boss😂😂😂jadi jangan asal ngomong bapak, karna kita Endonesia sudah paham, nanti kaya rumah DP nol persen🤣🤣🤣🤣🤣🤣",0
