publishedAt,authorDisplayName,comments_data,likeCount
2024-01-24T02:50:00Z,@MmaSamuel-rh7eb,"Wakil Presiden urut 2 tertumpu kepada kemajuan Indonesia, wakil Presiden urut 1  lebih cenderung kepada sindiran lawan jdi kita pilih yang mana",0
2024-01-24T02:34:34Z,@febydhiandra1578,Gibran sangat meyakinkan dan sungguh2  cawapres lain mengambang saya ga faham apa yang dikatakan seperti tak sungguh,0
2024-01-24T02:18:28Z,@alhafizhi7697,"Gibran ditanya solusi pertambangan ilegal, prusahaan ilegal kok jawabnya dicabut perizinannya, kan itu ilegal mana ada izin😂😂",0
2024-01-24T01:50:35Z,@rvol1069,No urut 2..wakili la ank2 mida,0
2024-01-24T00:50:17Z,@wijaya_8813,"no.1 dan no.3  sama sekali tidak menyampaikan visi misi tapi lebih ke ngeluh menyalahkan dan cari-cari kesalahan pemerintahan sekarang dan cawapres no.2 selalu menjawab keluhan mereka dan menyampaikan visi misi nya untuk menyelesaikan masalahnya dan menyampaikan visi misi nya kedepan dengan jelas,disini sudah jelas kalau cawapres no1 dan 3 memang pantas jdi rakyak biasa bukan pemimpin bangsa indonesia",0
2024-01-24T00:44:51Z,@anitameila1183,1❤,0
2024-01-24T00:28:03Z,@UmiYaalbi-vj1oh,Kami suka dan hormat sama pa Mahfud MD yg sabar dan cerdas. namun ma&#39;af pa kami harus menyatakan suara untu Amin No 1 menjadi presiden🇮🇩❤🤲🤲🤲,0
2024-01-24T00:24:16Z,@enobe9506,"SATU PUTARAN SAJA 02 , biar rakyat tidak capek. Mending cari nafkah.✌",0
2024-01-24T00:20:48Z,@UmiYaalbi-vj1oh,Pakta pa Amin kesalahan keu pememimpinan yg memperkya diri dn klgnya.. Ta perduli Indonesia dan Rakyat.. Banyak uang Indonesia masuk sakunya. apakh sekarang mau di serahkan lagi pada Anak nya.,0
2024-01-24T00:14:08Z,@niningsubiyati3700,Intinya skrang jaman naw yg muda android yg tua jadul anak muda debat dg gaya keren di bilang gk ada etika lalu dg sifat tenang diam di bilang plonga plongo terus ms gibran suruh gmn menurutmu yg baik km suruh duduk manis gt🤭 <br>Slm✌️✌️👍♥️,0
