publishedAt,authorDisplayName,comments_data,likeCount
2024-01-24T03:44:37Z,@ahshalhuda9699,AMIN,0
2024-01-24T03:42:22Z,@user-hi3rj1qc4o,Kita menangkan 1puran  untuk paslon no ✌️✌️,0
2024-01-24T03:42:00Z,@khosimalfatah6496,YA ALLOH AKU KASIHAN..<br><br>ADA CAPRES NGK PUNYA PARTAI<br>NGK PUNYA USAHA<br>NGK DAPAT PENSIUNAN<br>UTANG BANYAK..<br><br>SEMOGA SETELAH PILPRES TIDAK PEDOT,0
2024-01-24T03:39:42Z,@Resmi6a6a,Sangat2 miris melihat cawapres no urut 1. Selalu dan selalu menyinggung menjatuhkan orang lain dlm berbicara. Disuruh menyampaikan visi misi nyindir. Disuruh jawab pertanyaan nyindir. Sbenernya muhaimin itu cawapres apa anak ingusan?!,0
2024-01-24T03:39:23Z,@rimbabujang3389,"Program jangka menengah pembangunan Indonesia &quot;Menujuh 2045 Indonesia Emas dengan Ekonomi pringkat 4 terbesar dunia&quot; Indonesia negara anggota G 20, Luas Daratan Negara Indonesia 1.913.579 km2, Luas perairan Indonesia 6.653.341.439 km2, Garis pantai 99.093 km. Jumlah penduduk Indonesia 275 juta jiwa, Indonesia Negara Ajaib kaya sumber daya alam kaya budaya dan kuliner dan alam Indonesia terindah peringkat 1 dunia, dibalik itu semua: 1. Indonesia memiliki PT. D.I. Pabrik industri pembuatan pesawat terbang dan Helikopter. 2. Indonesia memiliki PT. PAL. Pabrik Industri pembuatan kapal perang dan kapal selam. 3. Indonesia memiliki PT. PINDAT. Pabrik industri pembuatan peluru, Senjata, Roket, Rudal, Tank Tempur, Tank Amfibi, Ranpur, Alat Berat Caterpillar. 4. Indonesia memiliki Pabrik industri pembuatan Drone. 5. Indonesi memiliki PT. INKA pabrik industri pembuatan kereta api, Indonesia Negara kaya sumber daya Alam semua ada di Indonesia. 6. Indonesia memiliki cadangan Minyak Bumi, Gas Alam mengalahkan Arab Saudi dan Venezuela dan memiliki cadangan Emas terbesar di dunia. 7. Indonesia memiliki Pabrik Industri Hilirisasi pembuatan barang jadi setengah jadi dari mineral rooms bahan galian tambang dari 1. Emas, 2.Nikel, 3.Bauksit/Aluminium, 4.Tembaga, 5.Timah , 6.Batu Bara, 7.Pasir Karsa dan lainnya. 8. Indonesia memiliki industri pabrik bahan bakar bio dari kelapa sawit menjadi bahan bakar minyak solar, Bensin, Avtur untuk pesawat terbang. 9. Indonesia kaya Energi baru terbarukan Energi hijau jadi Indonesia harus mendirikan perusahaan industri 1. Baterai 2. Chip Semikonduktor, program dasar pembangunam yang di letakkan BP.Presiden Jokowi harus di teruskan dilanjutkan oleh Presiden2 selanjutnya bossku, Indonesia tidak boleh mundur ke belakang Indonesia sudah surplus perdagangan semoga kedepan setiap tahun Indonesia bisa tetap surplus perdagangan bossku jadi ada baiknya orang asing bila belajar Bahasa Indonesia sebagai persyaratan bisa bekerja di Indonesia dan bisa menjadi WNI dan militer Indonesia harus kuat guys.👍",1
2024-01-24T03:39:17Z,@MmaSamuel-rh7eb,Muhaimen pintar ngomong seperti anies😂,0
2024-01-24T03:36:40Z,@elsidahutajulu9108,Harapan kmisebagai warga negara Indonesia semoga yg terpilih mnjdi presiden murni dari suara rakyat yg BKN Krn kecurangan atau money politik,0
2024-01-24T03:36:32Z,@bungaintanpermata,Pak gibran jawabanmu dari pertayaan mahfud tak berbobot,0
2024-01-24T03:34:53Z,@alishafirdaus8192,Iyaa iyaa paslon 1 yg paling punya ETIKA😂,0
2024-01-24T03:34:50Z,@bambangtribuana6062,Penonton di studio yg brisik ganggu kluaron ajh biar lebih hikmat nonton debat capres ko gak bisa diatur norak,0
2024-01-24T03:34:07Z,@Afanzh,Amjn aja,0
2024-01-24T03:31:16Z,@imusibah3228,"Ditempat kami lahan tani dijadikan hutan lindung yang tadinya kebun produksi karena datangnya perusahaan, kebun masyarakat dpaksa dgusur",0
2024-01-24T03:28:31Z,@TheRinuf,penontonnya di belakang pada norak2 ya,0
2024-01-24T03:27:38Z,@rinisetiaji5111,5 M wooww perangkat desa full senyum,0
2024-01-24T03:27:13Z,@yudiyudia9302,Tetep pilih 03,0
2024-01-24T03:25:15Z,@ferdinandusefendi,Smoga visi n misi dari ke 3 paslon betul2 terlaksana apabila terpilih menjadi presiden n wakil presiden nanti..,0
2024-01-24T03:23:08Z,@lailakurnia4124,Cak imin banyak janji ah persis kaya mantan saya dulu,0
2024-01-24T03:21:12Z,@fatmafat9721,Bukan gak terjawab ran.. Tp otak lu gak nyampe..kel level hijau.. Masih level abu2😂,0
2024-01-24T03:20:56Z,@bungaintanpermata,"Klu udah hukum bisa ditajamkan oleh Bpk mhfud, ingsaAllah Indonesia siap makmurrrr",0
2024-01-24T03:19:43Z,@lailakurnia4124,Gibran love u,0
2024-01-24T03:12:34Z,@HasanSan-yt7ur,Ya allah persatukanlah semua keenam calon pemimpin kami kedepan ini dalam satu tujuan ingin menyelesaikan dan mencari solusi krn allah dan bukan krn selainnya. Jgn ada perpecahan. Amin.,0
2024-01-24T03:11:04Z,@jagatartstudio,debatnya malah lucu. gak ada upaya2. mlah pda cerita2 doank. di tnya malah jawabnya cerita. lah jika km jadi trus hanya mau menyalahkan negara ini?,0
2024-01-24T03:04:39Z,@jeanbryot6765,"omongan cak imin basi ah, baunya sampe sini",0
2024-01-24T03:01:29Z,@maximuswangge3003,Seorg profesor itu uda diuji dan bias menanggapi mana pertanyaan yg bisa dijawab pertanyaan gibran banyak dia belajar istilah . Msyarakat tdk belajar istilah krja nyata itu yg penting. Soal pengalaman tdk diragu prof no 3 tetap jaya,0
2024-01-24T02:53:01Z,@radenbagusrinangku4369,Negara Kedaulatan Rakyat Indonesia.<br><br>Untuk rakyat kembali ke rakyat.<br>Check and balance_,0
2024-01-24T02:52:00Z,@syahreza1546,Jawaban gibran membela jokowi,0
2024-01-24T02:52:00Z,@marliaulfa45,"Mas gibran santun banget ples cerdas sehat selalu  beliau  kebangga,an kita semua",0
2024-01-24T02:51:10Z,@user-mi4ii7vl9s,Apasi imin,0
2024-01-24T02:49:24Z,@achmadrifqi-ys3xo,"cawapress no. 2 diserang se olah olah mereka ini petahana, kok lucu",0
2024-01-24T02:28:17Z,@gekaris89,Gibran 🎉,0
2024-01-24T02:27:40Z,@wiwinbarbar9891,Cawapres 01 sama 03 ini jwabanya sllu mengungkit masalalu y😂 tidak menjawab sesuai prtanyaan 😅,0
