publishedAt,authorDisplayName,comments_data,likeCount
2024-02-05T02:42:22Z,@radteam8497,Alhamdulilaj pencak silat semakin maji d pimpin pak prabowo,0
2024-02-05T02:41:42Z,@IndraFauziSabban,Siap makan siang.....,0
2024-02-05T02:41:42Z,@Best08,"Kebayang, krn usia prabowo yg tergolong renta, ditambah jalannya saja sdh pincang, kalau terjadi apa2, sekarat, meninggal dunia, sdh pasti digantikan Gibran. Anak ingusan, masih bocah.Bukan berarti sy pendukung anis atau siapalah. Yg jelas Indonesia tdk ada pilihan lagi utk cap/wapres. Negara boneka.",1
2024-02-05T02:41:28Z,@radteam8497,Berani nggajarin orang yg sudah praktek di bidang budaya kok anek 😅 ✌,0
2024-02-05T02:41:18Z,@taufikibnu5765,Anis aje lah,0
2024-02-05T02:40:53Z,@michellgaming4575,7 jt warga indonesia 270jt guys enjoy the moment,0
2024-02-05T02:40:09Z,@mamialesha-ut8oi,Keren banget pak Ganjar dan Mahfud hebat top deh juara bnget sudah mau memikirkan dan menyamakan Kaum  disabilitas smoga di tahun 2024 ini bapak terpilih menjadi presiden ak pilih Paslon 3,0
2024-02-05T02:38:19Z,@nmisland3595,Closing statement 01 dan 03 sangat ngena di hati.,0
2024-02-05T02:38:14Z,@bintangallshop9296,Solusinya yg blangko kosong atau yg tdk ada yg milih hrs di sobek di tempat dg di saksikan pemilih...,0
2024-02-05T02:38:04Z,@devisacraft6766,Gama,0
2024-02-05T02:38:02Z,@mamialesha-ut8oi,Gak salah pilih ni klu gtu di tnggl 14 February ak pilih pak ganjar Mahfud tp bnget deh hebat smoga terpilih di 2024 ya pak dengan memikirkan kaum.disabilitas keren bngt bpk,0
2024-02-05T02:36:30Z,@user-dv7ve8zw3e,Jawa Tengah aja amburadul kok mau ngurusin negara,2
2024-02-05T02:34:34Z,@storyofhafiza7146,Pak anies yg berdiri dibelakangnya ga bnyak artis tp vibesnya org pinter smua,0
2024-02-05T02:34:30Z,@user-rc7ml2mm9k,Bismillah Gas buat bapak prabowo..,2
2024-02-05T02:34:08Z,@kholidahhanifah5197,"Pak Anies negarawan yg full gagasan, cerdas dan mampu menggerakkan, Bangga Indonesia memiliki calon pemimpin yg punya visi misi jauh kedepan utk seluruh bangsa bukan keluarga tertentu saja....",0
2024-02-05T02:33:38Z,@firdalf.14,Ttep 02 sih,2
2024-02-05T02:32:55Z,@aisyahhasna3105,AMIN Jozzzzzzzzz,0
2024-02-05T02:32:15Z,@karenninash,"lucu bgt,isi komentar isinya pendukung paslon 1 smua. wkwk, indonesia perlu kerja nyata,bukan cuma omon omon doang hehehe",2
2024-02-05T02:31:56Z,@kelanachanell,panen adsen mbak nadjwa,0
2024-02-05T02:31:50Z,@lintangfajar3608,PRESIDEN KITA ITU PEMBOHONG APAKAH MASIH BISA DIPERCAYA OMONGANNYA ....,0
2024-02-05T02:30:41Z,@adityasanata4691,"Kado dukung paslon 1,2 atau 3 ya udah pilih aja waktu pemilu ya. Gak usah komen2 dukung salah satu paslon terus menerus. Ciptakan pemilu damai dan jujur dan adil.",0
2024-02-05T02:30:05Z,@mydittsss,PAK ANIES PASTI AKAN MENANG!! AMIN,0
2024-02-05T02:30:00Z,@CahayaKS,Maaf semua,0
2024-02-05T02:29:50Z,@ipansbl3460,ntah mengapa kata kata yang keluar DARI MULUT dari jubir 03 ini MENJIJIKAN SEKALI YA,0
2024-02-05T02:29:32Z,@user-et7mo3oy6m,tanggal 10 Insya Allah kami ikut kampaye ke JIS,0
2024-02-05T02:28:23Z,@user-et7mo3oy6m,"Anak saya yang pertama tahun ini merupakan pemilih pemula , Alhamdulilah sekarang sudah yakin pilih Pak Anies dan gus muhaimin padahal sebelumnya dia condong ke 02",0
2024-02-05T02:27:58Z,@AguswalidainLaskar,Audio nya kacau,0
2024-02-05T02:27:56Z,@syafar237,Pak Anies...engkau sangat layak memimpin bangsa ini...,0
2024-02-05T02:27:35Z,@NgapakTeritorry,"Program makan gratis itu bukan pada level strategis presiden, alangkah rendahnya kita, memilih dia hanya untuk makan gratis, kl cuma makan gratis, pekerja Romuisha, Rodi, Tahanan Polsek, Lapas, itu gratis semua",0
2024-02-05T02:26:16Z,@cotobuluk123,GAMA ❤❤❤❤ menag 1 putaran,0
2024-02-05T02:25:51Z,@LolMediatamaaa3,Pak Ganjar Tegas dan berani Gaspoool 🤟🏻🐧🇮🇩,0
2024-02-05T02:25:47Z,@eviskamaludin129,kreen tegas dan bijak paslon 01 barakallah,0
2024-02-05T02:25:18Z,@ahmadfauzan2402,Amin 01,0
2024-02-05T02:25:08Z,@mamialesha-ut8oi,"Dari awal liat debat kali ini sangat adem sekali..jadi makin yakin pilihan nanti di tanggal 14 February pas pemilu pilihan ke Paslon no. 3 Ganjar dan pak <br>Makin jelas makin visi dan misinya<br>Apa lagi tentang i love u yang memperhatikan kaum disabilitas good bapak Ganjar dan pak Mahfud hebat, top dan juara smoga terpilih di tahun 2024 Indonesia semakin baik dan semakin maju",0
2024-02-05T02:24:55Z,@TheKiatwins,"Duluuu... senang mendengarkan Bang fadli kalo ngomong dan debat. Literasinya bagus. Tapi sejak &quot;terpaksa&quot; harus mendukung pilihan Jokowi dan berpihak pada Jokowi dgn segala ketidaketisannya dalam mendudukkan anaknya di posisi cawapres, ketajaman analisa bang FZ seperti menghilang... sayang sekali...",0
2024-02-05T02:24:11Z,@stevenchou9274,"siapapun yang jadi presiden Indonesia, ya oke lah...<br>toh kalo kita ga kerja keras ya masih tetep gini-gini ajah 😊<br>yang penting damai sejahtera, beda pilihan bukan berarti bermusuhan ❤❤",0
2024-02-05T02:23:29Z,@hitampinggirnyachannel1077,Anis jadi camat <br>Ganjar jadi bupati <br>Cak imin jadi ketua RT <br>pak mahfud buka usaha di madura <br><br>Prabowo prsiden <br>Gibran wakil presiden <br>Sudah passs ❤,0
