publishedAt,authorDisplayName,comments_data,likeCount
2024-02-05T02:39:50Z,@uubachrumsyah6207,Pa Anis pidatonya hebat ber api2 juga rencananya hebat lah tapi sayang tindakannya apa? Tidak disebutkan.,0
2024-02-05T02:39:27Z,@labadia3763,Dengan kata pembuka bismillah dan kata penutup bismillah Insya Allah Prabowo Gibran presiden RI kita Amin amin ya rabbal Al-Amin 🤲🤲,0
2024-02-05T02:39:04Z,@YudaYuda-vx8ts,❤02,0
2024-02-05T02:38:58Z,@SadipAceng,Hanya percaya sama 01 amin.,0
2024-02-05T02:38:54Z,@user-ki3vu9pu8c,"Visi misi 03 sm 01 yg berbobot yg bs dipahami,",0
2024-02-05T02:38:47Z,@densganghobbychanel3756,Prabowo akan menang jika pemilu gak jujur dan pemilu sekarang pasti gak jujur karena KPU gak akan independen,0
2024-02-05T02:38:35Z,@LASKARMADURA58,Anis dan ganjar🙏🏼👍🏽🌹,0
2024-02-05T02:38:28Z,@pangeranhidayahalba,Wo saya sangat senang mendegar kan gagasan pak prabowo   yg begitu cermrlang . Semoga apa yg bapak kt kan teujut endang saat pak prabowo jadi peresiden,1
2024-02-05T02:38:27Z,@tyazfauzi7021,Intinya 02 🎉,0
2024-02-05T02:37:52Z,@wayansuarnawa5666,"Luarbiasa Pak Prabowo debatny malam ini, sangat2 jelas dan akan membawa Indonesia  ber dignity and maju !❤  Prabowo- Gibran is the best and the right choice for President and vice President for Indonesia ❤ let vote the paslon no 2✌🏼✌🏼✌🏼✌🏼❤️❤️ guys 🇮🇩🇮🇩",0
2024-02-05T02:37:42Z,@DaunOfficial,"Anak saya mau makan mie gacoan, seblak, baso gimana pak?",0
2024-02-05T02:37:24Z,@mujiyonomuji5957,Sangat optimis kerja dan program 01 untuk semua menyetujui,0
2024-02-05T02:36:51Z,@fazrinnugraha8843,Manis di bibir 😂,0
2024-02-05T02:36:45Z,@okimollolasa3581,Jgn hanya melihat dri kekerasan terhadap perempuan. Tetapi bgmna dgn laki2 juga... memang kita tau bahwa perempuan lah yg korban terbanyak. Tetapi ada juga laki yg korban krn prilaku perempuan..,0
2024-02-05T02:36:32Z,@fazrinnugraha8843,Sangkuni 😂,0
2024-02-05T02:36:07Z,@YilkuGuli,Ya komenya pendukung 02 di hapus metro tv<br>😂😂😂😂,0
2024-02-05T02:35:37Z,@zairinazaini1081,Kerennn pak anies.....❤,0
2024-02-05T02:34:47Z,@putrasanjaya542,Ganjar mantap....❤❤❤❤❤❤,0
2024-02-05T02:34:02Z,@iluhtangkas,"02 pas berpelukan,kayak kakek lg meluk cucunya,klhtn dipaksakan😂😂😂.03&amp;01 hebat.asal jgn 02 deh",0
2024-02-05T02:34:00Z,@laila8192,Padahal semalem dah nonton di TV rasanya kurang puas jadi liat lagi disini buat dukung pak anies baswedan☝☝☝,0
2024-02-05T02:33:58Z,@user-br8wy8oj5x,Benar tu nis,0
2024-02-05T02:33:52Z,@hardijchemix8339,GANJAR PRABOWO the best ♥️🤟🤟🤟,0
2024-02-05T02:33:43Z,@Milla-or1hz,Pa.ganjar.rangkul.orang.miskin,0
2024-02-05T02:33:38Z,@catutkuku,"02, minta maaf, ..? dimaafkan, tapi naik jangan .. !",0
2024-02-05T02:33:22Z,@lifani1371,Ganjar lebih bijaksana dan akurat dalam menjawab... keren sekali bpk Ganjar❤❤❤,1
2024-02-05T02:33:17Z,@beniputra7516,Yg bisa dekat dng rakyat dan sllu peduli dng rskyat..cuma pak jokowi dan pak prabowo..yg lain it fisi misi bicara peduli di saat debat..kalau sdh jdi lupa dng fisi misonya it...,0
2024-02-05T02:33:07Z,@rahmawiku34,BISMILLAH k tps plh 02 ❤❤❤❤,0
2024-02-05T02:32:53Z,@PetualanganUpinIpin,"Anis kok kayak sdh siap jawaban gitu ya seolah olah soalnya udh tau, jawabannya udh ada",0
2024-02-05T02:32:44Z,@liwauwais,"Bismillah. Semoga Alloh Takdirkan Kebaikan, Alloh Mudahkan serta Alloh berikan Keberkahan utk Abah Anies Baswedan &amp; Gus Muhaimin Iskandar Hafizhahumullah menjadi Presiden &amp; Wakil Presiden Republik Indonesia 2024-2029, Allohumma Aamiiin  🤲🏻 <a href=""http://www.youtube.com/results?search_query=%23aminajadulu"">#AMINAjaDulu</a> 👍🏻☝🏻🙏🏻😊🇮🇩",1
2024-02-05T02:32:41Z,@EmulYana-xy5jb,Pembukaan dan penutupan yg mntap bgt....Abah Anies we love you,0
2024-02-05T02:32:28Z,@UmiKalsum-ud1mt,"Atas ridho alloh  swt.dan do a keluarga.besar.kami <a href=""http://pasti.pk/"">pasti.pk</a> anis.jadi prediden terpilih th 2024.amin amin aminn ys.rob",0
2024-02-05T02:32:15Z,@Milla-or1hz,Rumah.sakit.nggausah.moderen.yg.penting.ada.setiap.peloksok.pelok.sok.pelanyanan.baik.itu.yg.mau.rakyat.banyak.yg.di.abey.kan.pelanyanan.afa.lgih.orang.miskin,0
2024-02-05T02:32:09Z,@dodichanel8647,"PDI gak usah ngibul,<br>10 thn memimpin semua sudah jelas,",0
2024-02-05T02:29:55Z,@TheKetota,"Pragib 02, pilihan tepat untuk menang Pilpres 2024 Indonesia maju dan damai sejahtera",0
