publishedAt,authorDisplayName,comments_data,likeCount
2023-12-30T03:27:54Z,@damkar1134,Dri komentar semua banyak pendukung 3 kubu,0
2023-12-30T03:11:03Z,@annur4818,ANIES tetap di hati auto coblossss,0
2023-12-30T02:47:29Z,@queensofiashanum2511,Saya prabowo. Prabowo selalu di hati❤,0
2023-12-30T02:44:49Z,@user-ii8cf6ey3y,Pak anis calon presidenku...👍👍,0
2023-12-30T02:28:00Z,@franslp5928,Prabowo 3: 0 Anis,0
2023-12-30T01:37:29Z,@SamsungJ2prime-wf4hk,Pak prabowo🏡🏡🏡🏡🌵🌵🌵⚾⚾🙋🙋🍘🍘🍃🍃🍃🍃🏧🍃🏧🍃🏧🍃🏧🏦🎤🏦🍃🏍🏦🛤🛤🛤🛤🛤🏦🏦🏦🏦👤👤👤👤👤🎎🎎🎎🏧🛤😊😊😊👐👐👐👐👂👂👂👂🍺😁😁😁😁😁💎💎💎💎📿📿📿👌👌👌🖕🖕🖕🖕🖕🍃⚾⚾⚾⚾🏄🏄🏄🏄🏄🏄🏍🏍🏍🏍🚮🚮🚮🚮🚮🚮🚮👤👤👀👀👀👀👃👃👃👃👃📿📿📿🏍🏍🏍🏍🏍🏍🍃🍃🍘🍘🍘🍃🍃100,0
2023-12-30T00:57:05Z,@user-ib6uv3bb2p,Cuman bagus bicaranya saja gayanya otoriter...,0
2023-12-30T00:23:03Z,@aditindria.w.h7032,Paling sesuai dengan realita Anies Baswedan pilihan cerdas,0
2023-12-29T23:53:23Z,@oneshot4279,Emosian😂😂.. Bilang gak butuh jabatan. Di angkat mentri aja ehh dah jadi kacung sekarang,0
2023-12-29T23:42:13Z,@aaishare4828,Ini mh bukan debat<br>Ini mh lebih kaya Anies sedang kasih kuliah kebangsaan sama yg lain😅,0
2023-12-29T23:41:38Z,@davyannyongwellip2950,Anis Baswedan ini contoh orang yang hanya pintar berbicara saja... Menurut saya .. jangan tersinggung ehh,0
2023-12-29T22:52:50Z,@user-yl9om1sz5m,"God bless you sir. Prabowo Subianto, amien❤😂🎉😢😮😅😊.",1
2023-12-29T22:49:19Z,@teddysantoso7223,Ketika moderator acara debat difasilitasi duduk selama sesi tanya jawab: kenapa capres 123 diminta berdiri? Waktu menanggapi komentar paslon lain juga tidak cukup hanya 1 menit. Benar kata bang Hotman Paris debat tidak enak jika waktu dibatasi hanya 1 atau 2 menit menjawab pertanyaan kpu.,0
2023-12-29T21:29:51Z,@aleshageemeeshh969,"Cara berbicara, pembawaan dalam melontarkan kata2 dan jawaban yg tepat dgan waktu yg dibatasi itu membuat logika org bisa menilai standar IQ seseorang..",0
2023-12-29T20:09:46Z,@rivaldialasghar7373,"Keliatan yg mana yg benar, keliatan yg  mana yg selalu diserang dg statement yg lucu, Keliatan yg mana yg jelas penyampaian nya,  bahasa pun bisa menilai, pada debat ini kita menyaksikan semua. Kebenaran itu selalu diperangi, selalu dicari² celah nya. Kejamnya politik. <br>Harapan 5tahun kedepan menuju perubahan. Pilihan tidak boleh salah... Bismillah untuk Capres pilihanku",0
2023-12-29T19:26:16Z,@rommyharyono3565,Wowo wowo,0
2023-12-29T19:20:27Z,@okprasetia307,Jd keinget Lagunya Dewi persik 😅,0
2023-12-29T18:41:01Z,@ilyaskamisi1121,BPK Probowo tdk bisa membubi kata kata tapi realita dan jujur tdk Munafik dan apa adanya tksih 🙏🙏🙏❤️,0
2023-12-29T18:14:19Z,@user-lt8vj9dl4m,Pasti pertanyaannya sudah ada bocoran buat anies,0
2023-12-29T17:51:10Z,@mahmudmhmd-cb9py,assalamu&#39;alaikum yg ter hormat bapak anes Baswedan sayah suka kata2 Bpk anis semoga bisa berubah,0
2023-12-29T17:39:37Z,@user-xe6ce3lb3x,"Calon ini semua bagus pintar  jujur dan amanah ..... Padahal pingin q pilih orang yng iklas dan benar, dan juga orang yng selalu ingat dan dan percaya bahwa kemerdekaan indonesia  memerlukan perjuangan yang matimatian  tapi kok belum nampak",0
2023-12-29T17:34:10Z,@user-md7bl8rg3u,Bak bok bak bok,0
2023-12-29T17:33:38Z,@firmansyahali2373,ALL IN ANIES MENANG SATU PUTARAN 2024 AMIN ☝️❤️,0
2023-12-29T16:59:28Z,@boytaritaritujusatuboyadd9560,😮 pak prabowo mengungah semangat ya allah,0
2023-12-29T16:39:47Z,@user-xh8go6bh1h,Ntb internet terp lncr pk ganjar grtiiss lgii wifii,0
2023-12-29T16:35:05Z,@dianriska7475,"Pa prabowo orgnya maju trs pantang mundur, meskipun udh pernah gagal beliau tdk prnh merasa malu,ataupun berkecil hati, tetap optimis, mungkin beliau mempunyai ambisi yg ingin diwujudkan demi memperbaiki indonesia ❤",0
2023-12-29T16:11:34Z,@SuyantoYanto-nl3yk,No 1 menang pasti menang pasti menang pasti menang pasti menang,0
2023-12-29T16:11:02Z,@SuyantoYanto-nl3yk,No 1 pilihan ku menang pasti menang,0
2023-12-29T16:10:42Z,@SuyantoYanto-nl3yk,BP Anis menang pasti menang,0
2023-12-29T16:06:11Z,@DRBhoraslae,"ANIS PINTAR MENYUSUN KATA-KATA, KERJA NYA TIDAK NYATA",0
2023-12-29T16:06:03Z,@cahrantau2352,Lahir bathin tetap pak prabowo...,0
2023-12-29T15:55:15Z,@DedyIrwansyah-dv8vo,Berantas narkoba dan korupsi tu jangan omong kosong,0
2023-12-29T15:49:55Z,@maulaazkafatihah6163,"Pak anies menyampaikannya tulus terlihat dr wajahnya,,, semoga sehat selalu ya pakk❤",3
2023-12-29T15:35:12Z,@rinahanjani8890,"Pak prabowo ga pandai bicara tp aku yakin krj dia bkal nyata, smga pak prabowo jadi, tp aku benci bgt ya sma pak anis, pandai bicara tp kya gmna gtu ga suka bgt",0
2023-12-29T15:14:54Z,@adeasholihin9503,"siapa pun yg jd pemimpin negara ini ,,,yg penting amanah dan takut hukum ...karena hukuman buat pemimpin jauh lebih berat ,,,dunia akhirat,,,,yg terpenting di lihat dr ahlak nya",2
2023-12-29T15:11:07Z,@asmaji4448,Bismillah anis-amin,0
2023-12-29T15:01:28Z,@yaohirovlogger_hd9017,All in prabowo bung,0
2023-12-29T14:47:33Z,@dafabungo7934,"Kata Prabowo ekonomi msh aman, di mana aman nya? <br>Malah makin susah",0
2023-12-29T14:39:28Z,@user-yo5is3hw8v,Salut sama Pak Prabowo tidak menyudutkan lawan nya.<br>Bukan seperti calon lainnya.<br>Takut pak Prabowo menang makanya mereka sudutkan<br>Allah maha adil.<br>Semoga Pak Prabowo menang.Aamiin ya Allah🤲🤲,0
2023-12-29T14:33:02Z,@user-sh6uk5zs8h,Saya tetap pilih pak gajarrr mahfut md bero,0
2023-12-29T14:29:10Z,@aplianabuni2113,pak Prabowo tetap RI,0
2023-12-29T14:28:12Z,@aplianabuni2113,orng klw pandai bicara harus waspada Krn janji manis  mulai Anis now good,0
2023-12-29T14:26:45Z,@muhammadnormanismail9039,"Tema Debat:<br>- Pemerintahan<br>- Hukum<br>- HAM<br>- Pemberantasan Korupsi<br>- Penguatan Demokrasi<br>- Peningkatan Pelayanan Publik<br>- Penanganan Disinformasi<br>- Kerukunan Warga<br><br>Dengan keterbatasannya Prabowo bertanya ke Anies tentang polusi, yang ngga sesuai temanya, Anies sudah berbaik hati mau menjawabnya 😂🤣<br><br><br>Jawaban Anies atas pertanyaan Prabowo, langkah2 yang sudah dilakukan Anies selama memimpin Jakarta selain Memasang alat pemantau polusi udara<br>1. Pengendalian emisi<br>2. Elektrifikasi kendaran umum<br>3. Konversi kendaraan umum",0
2023-12-29T14:20:02Z,@muhamatali5611,aku dukung Prabowo  Karna orgnya sederhana,0
2023-12-29T14:10:05Z,@fromsmh,PRODI HKI V - 23-24 FSEI UNIB,1
2023-12-29T14:07:31Z,@shabrinaladya7373,I love pk prabowo❤❤❤,0
2023-12-29T14:07:12Z,@shabrinaladya7373,pk prabowo❤❤❤,0
2023-12-29T14:04:47Z,@liayuliani1130,Cara menjawab yg mayoritas on point dan jawaban jelas dan tas tes itu salah satu ciri orang cerdas ❤,3
2023-12-29T14:03:14Z,@user-we3bx8ju5x,Lajut pak anis,0
2023-12-29T14:03:11Z,@user-fw6rx5rv4g,I ❤ Prabowo 🎉,0
2023-12-29T13:59:31Z,@Eggaproduction,Bismillah Anis,0
2023-12-29T13:46:09Z,@pitriladi9214,Klo aku boleh jujur ni ya...<br> Yg saya lihat DEBAT ini yg saling mencela itu hanya P.ANIS dan P.PRABOWO aja ni...<br> Untuk pak ANIS. jangan selalu buaka aip orang pak...😅😅😅😅<br> Untuk P.PRABOWO. yg salah tetap salah pak...😊😊😊😊...<br> HIDUP💪🤝 INDONESIA🇮🇩🇮🇩🇮🇩,0
2023-12-29T13:40:56Z,@user-zd4bk3hu8l,Pak.ganjar..semoga.jadi.persiden.yang.baik.sukses.paksemoga.terkabol.aamiin,0
2023-12-29T13:33:25Z,@user-tm8vd6fc4y,Semoga jadi kenyataan yg diutarakan oleh ketiga calon presidem,0
2023-12-29T13:31:30Z,@xxovereyexx5019,prabowo jawabnya agak emosional<br>klo dibilang siap mati utk negara semua org juga begitu ..pak ..pak..,0
2023-12-29T13:00:33Z,@user-wt2ve9mh2h,Prabowo menang,0
2023-12-29T12:12:44Z,@adiatmanmann5786,Asalamualaikum wr. wb dan salam hormat semuax saya di sini selalu kbr baik pa,0
2023-12-29T12:07:44Z,@user-qb6yf9mv7h,Tetap Anis ajah,0
2023-12-29T12:00:19Z,@MillenialBatas,Jadi pemimpin yg dibutuhkan adalah aksi bukan sekedar merangkai bahasa. Bravo Prabowo -Gibran,4
2023-12-29T11:43:26Z,@agungmahfudhori3584,Dasar bocah ingusan yo mesti awuran ......😅😅😅😅,0
2023-12-29T11:01:15Z,@anang1579,💪💪💪💪💪😘😘😘😘😘😘🇮🇩🇮🇩🇮🇩🇮🇩 pak prabowooooo,0
2023-12-29T11:00:17Z,@andradautami1581,Pakai data dan logika dooong... Kerennnn ❤,1
2023-12-29T10:59:06Z,@anang1579,PRABOWOOOOOOOOO❤❤❤❤❤,0
2023-12-29T10:51:37Z,@anang1579,"Tetaaaap prabowoo plihan masya rakat , cuma prabowolah harapan masyarakat",0
2023-12-29T10:46:46Z,@andradautami1581,"Pak anies berani, sudah mewakili kegelisahan rakyat. Keren ❤ semoga Allah selalu menjaga pak anies sampai ke kursi RI1.  Aaamiiin 🤲",4
2023-12-29T10:42:46Z,@andradautami1581,"Amin 🤲🤲 semoga semua ucapan di dalam majelis ini, diijabah oleh Allah",0
2023-12-29T10:41:11Z,@RamadhanAdias,Komennya ga jauh dari “merangkai kata”. Kalo merangkai kata aja gabisa gimana mau mendelegasikan tugas ke bawahannya 😅,0
2023-12-29T10:28:15Z,@andradautami1581,Kenapa sih capres 02 ini... Kok suka menghina cara berbicaranya? Ada masalah di attitude,0
2023-12-29T10:03:58Z,@sintangkota1917,Sedikit lucu 😢 debat pertama jd bikin orang tertawa,0
2023-12-29T10:00:50Z,@andradautami1581,Keliatan... Beda level kecerdasan. Insyaallah pasti pilih yang paling cerdas. Indonesia sangat butuh pemimpin cerdas dan amanah,2
2023-12-29T09:54:26Z,@user-kt3sx5xf1c,Ada omay Farida nurhan ya di tim prabowo❤,0
2023-12-29T09:45:47Z,@andradautami1581,"Pura2 sehat itu masih mudah. Yang susah, pura2 berhasil 🤭",0
2023-12-29T09:43:06Z,@andradautami1581,Manajemen negara yang berhasil? 😂😂😂,0
2023-12-29T09:41:43Z,@adrianragachannel9140,Pak Prabowo tidak munafik dan ia tidak mau bertele tele seperti tong kosong bunyi nyaring.. &quot;mati untuk Indonesia pun saya siap&quot; salut All in Prabowo kelassss,0
2023-12-29T09:41:36Z,@andradautami1581,Kok visi misi capres 02 ngikut2 capres 01? 😅 apa kepancing kah?,0
2023-12-29T09:20:37Z,@danilarifin24yahoodanilari44,No.1.anies is the best❤,0
2023-12-29T09:13:17Z,@salmabintuni0679,Siapa yg menang dlm pilpres itulah presidenku<br>Yg ku mantah hanya bebaskan korupsi dan juga hapuskan atau angkatlah smua honorer yg ada di Indonesia di jadika PNS,0
2023-12-29T08:33:22Z,@rizkyfa1324,"<a href=""https://www.youtube.com/watch?v=zB0RvKAc2kw&amp;t=17m24s"">17:24</a> dia sendiri banyak pake ordal 😂kocak",0
2023-12-29T08:26:11Z,@ASRUNAllung-kq3dz,Prabowo dong😊😊,0
2023-12-29T08:17:38Z,@rudyposuma5880,"Saya lebih percaya yg sudah kelihatan kerja nyatanya,dari pada bersilat lidah...😀😂🤪",0
2023-12-29T08:06:47Z,@ardi9843,Ndasmu Etik😂,0
2023-12-29T08:04:14Z,@intamerela7617,keseriusan menjawab pertanyaan ini nampak pada kemudahan memaparkan pada publik yaitu ANIS orangnya,0
2023-12-29T07:52:14Z,@user-my2tl7hf3n,Pak anies rasyiđ baswedan gus muiminin iskandar insya menang,0
2023-12-29T07:44:01Z,@sunaryatiati2387,"Sy sudah serius denger debat ini walah ada ANGIN  tidak punya KTP  sy ketawa🤣🤣🤣🤣 sampe nungging&#39;&quot;&quot;🤣🤣🤣🤣 ,,tp sy suka yg tidak janji&quot; muluk&quot; takut nungsep😂😂",0
2023-12-29T07:43:24Z,@candyyz_,pak ganjar elop,0
2023-12-29T07:36:14Z,@NisaRamadhani-uo4mw,"Pa probowo alangkah lebih baik jika lebih tenang , berwibawa, sopan, <br><br>Kita butuh pemimpin cerdas dan sopan tidak gresa grusu..",0
2023-12-29T07:11:46Z,@youngpineapple6094,AMIN ❤,1
2023-12-29T06:57:52Z,@rengoku_kyojur0,Siapapun nanti semoga bisa merubah indonesia,0
2023-12-29T06:46:05Z,@BuhartiNi-sy7sg,💪👍🇮🇩🇮🇩,1
2023-12-29T05:51:47Z,@aciacianti700,Rakyat tidak butuh pemimpin yg cuma pintar ngomong tapi sama sekali tidak memikirkan rakyat nya. Cukup Jakarta yg dibikin hancur jangan Indonesia.kami rakyat TDK mau lagi dibodohi seperti Jakarta. Prabowo Gibran pilihan kami 60 % lebih rakyat Indonesia,0
2023-12-29T05:41:14Z,@aisyahlaylianzani7145,Menit 52 mati kutu shi wanjembut,0
2023-12-29T05:25:45Z,@baitial-amin1687,All in aminnn,0
2023-12-29T05:25:19Z,@baitial-amin1687,All in aaminnnn☝️☝️☝️☝️☝️,0
2023-12-29T05:12:48Z,@dwiandini9224,"kalo pak prabowo yg ngejelasin kenapa gua paham ya, tapi pas bagian pa anis ngejelasin gua kurang paham wkwk",0
2023-12-29T05:13:36Z,@dwiandini9224,kaya terlalu belibet gitu ngmngnya 😂,0
2023-12-29T05:06:11Z,@arastyadestyn2724,Kata prabowo ekonomi masih terkendali dri mananya aman..justru barang2 dan sandang pangan dan papan naik drastis.. krusuhan bnyk di mana2 contohnya kasus tanah sengketa...yg di biarkan.. aman dri mana pak,0
2023-12-29T04:50:20Z,@Maihanschannel,Pak orabowo dan mas gibran slalu dihatiii❤❤,0
2023-12-29T04:46:28Z,@gowesstore7840,mantap bowo dan bran,0
2023-12-29T04:41:12Z,@NurFuadah-ih7lm,Indonesia❤,0
2023-12-29T04:29:22Z,@Feroeogehalawa,Mantap pak anies dan pak ganjar pranowo 🙏🙏,0
2023-12-29T03:29:13Z,@user-sn3te5pq5n,"Salutt dengan Visi + Misi para Capresi ini, sayangnya semua yang saya dengarkan hampir mirip dengan yang saya dengar dari 5 kali Plipres yang saya ikuti, tapi semua cuma omong kosong. Jika saya, kamu dan yang lain setuju, untuk para calon diberi syarat atas Visi + Misi mereka diberi target pencapaian berbanding dengan waktu, di berlakukan reward and punishment kalau berhasil mencapai target dapat insentif, bila gagal hukumannya tidak diberi tunjangan atau bahkan dimakzulkan...Beranikah mereka mereka menerima tantangan ini??",0
2023-12-29T02:52:31Z,@radenrorohidayatipratiwi2923,Semangat terus pak prabowo❤️,1
2023-12-29T02:52:27Z,@nisfugaming9065,"&quot;saya orangnya tidak abu-abu,hitam(pdhl putih) putih(pdhl hitam) sat set&quot;<br>klo hitam putih dicampur jadi abu abu😂😂😂<br>&quot;dikritik ga baperan&quot;<br>apa kabar pas diroasting kiki saputri😮😮",1
2023-12-29T02:46:04Z,@muhjumiransst.ip.5484,Mantap Bpk Prabowo maju terus stia hingga akhir pilih   no 2 hayo sdara2 ku masyarakat Indonesia,5
2023-12-29T01:04:09Z,@melkisedekfaot7989,Ganjar mafut di hati🙏,0
2023-12-29T00:51:00Z,@user-oe5rp4xl2c,Jawa timur pun susah beli pupuk pak,0
2023-12-29T00:19:15Z,@user-yq8hr6gf3g,"ANIS SONG BISAH LAWAN LAI , PANTAS  KALAU ANIS ...... M , JADI PEMIMPIN DI 2024 , AGAR BISAH MEMBAWAH INDONESIA KEARAH YG LEBIH BAIK , DAN BERBUAT ADIL TERHADAP RAKYAT KECIL ,",0
2023-12-28T23:48:49Z,@idmusic1363,"Ini yang saya ingin seorang pemimpin yang tegas, cerdas, dan penuh demokratif itu semua ada di pribadi Pak PRABOWO",13
2023-12-28T23:30:53Z,@user-kg8zw3zn2r,Visi misi anies baswedan...itu yg d katakan visi misi menyudutkan. Satu nama....ga nymape pa aniesss.....,0
2023-12-28T23:13:05Z,@mawarqf9232,"Pak prabowo insyaallah menang.. sebener nya cerdas tp ga pandai merangkai kata2, apa ada nya, tegas, berbesar hati.. insyaallah prabowo-gibran, sehat trs pak prabowo, panjang umur 👍",12
2023-12-28T22:26:37Z,@ronaldorgg318,Kita di ingatkan  dengan lagunya  PANGGUNG SANDIWARA 3PEMBOHONG  RAKYAT INDONESIA,0
2023-12-28T21:05:36Z,@aakasep4818,Buktikan kasian rakyat pak....,0
2023-12-28T20:53:03Z,@samsung-ju5lc,Saya yakin  yth.bpk prabowo jadi president 2024,1
2023-12-28T20:52:49Z,@samsung-ju5lc,Saya yakin  yth.bpk prabowo jadi president 2024,1
2023-12-28T20:09:42Z,@nuryaman4246,😂😂😂😂😂,0
2023-12-28T19:13:04Z,@simpangsitepu2753,Hanya susilo yang tpt janji dia angkat guru honor menjadi pns tanpa bayar,0
2023-12-28T19:08:49Z,@sitinuryanah-nz6rj,Waktu udh 1 detik lagi moderatornya masih aja ngomong waktu masih ada,0
2023-12-28T19:08:15Z,@hotmandabutar1903,"Anis ini hanya bicara seorang masalah  indipidu, gak menarik, hidup prabowo",0
2023-12-28T19:07:55Z,@NuriNuril,Oyo,0
2023-12-28T18:52:18Z,@ihsanalam3172,Kita butuh pemimpin yg tegas.yg bisa mempati janjinya bukan hanya bisa merangkai kata kata....salut buat pak prabowo,21
2023-12-29T10:47:56Z,@andradautami1581,"Merangkai kata saja sulit, bagaimana mau bernegosiasi dengan pihak2?",0
