publishedAt,authorDisplayName,comments_data,likeCount
2023-12-30T07:26:19Z,@user-js1uu8hb8o,ngomonge bocah cilik koyo arep nangis wkwkwkwkw,0
2023-12-30T07:19:01Z,@selamatpo4094,Mas gibran top markotop,0
2023-12-30T06:35:20Z,@ManImmangk,Yang dukung PRABOWO GIBRAN kumpul👇,0
2023-12-30T06:23:06Z,@user-mt1sh5mh3p,Ternyata Profesor aja kalah kena gibran😂 apa lagi yg ono banyak janjinye yg ga masuk akal😂 di potkes dedy Crobuser ketauan deh tereng😂😂,0
2023-12-30T06:06:52Z,@DiniPangestu,Ada aja idenya capres yang satu ini 😂 lanjutkan pak kami mendukungmu,0
2023-12-30T04:34:39Z,@user-of8je8kk2r,"Setelah di perhatikan, pak muhaimin yang terhormat, terlalu hyperbola, bilangnya bangun 40kota setara kota jakarta, truss bebas pajak lagi😴,",0
2023-12-30T04:07:28Z,@resintajka4886,Bingung mo pilih gibran atau prabowo😅,0
2023-12-30T04:04:15Z,@heibhumi,"sebenernya setiap 3 dari mereka selalu bisa mencari celah dan kasih masukan yang mantap, tp kalau sendiri sendiri jadi kurang lengkap visi misi tujuan dll nya, rumit juga",0
2023-12-30T02:19:32Z,@Misbahfuat,Indonesia nggak akan bisa maju klau masih bnyak koruptor,0
2023-12-30T01:37:23Z,@egagosong731,"Saya melihat seperti alur naruto , pak gibran adalah boruto , pak prabowo sebagai sasuke guru dari boruto sukses jadikan boruto lebih kuat , inilah pak gibran , 2 pemimpin yang tambah berani dan tegas karna di bimbing sama pak prabowo dan tidak lupa pak jokowi ada di darah sinobi pak gibran , saat nya indonesia update , saya dukung prabowo gibran jadi pemimpin , sudah saatnya indonesia maju dalam militer dan tetep melanjutkan misi yang belum realisasi , rusia dan amerika militer yang paling kuat tapi tidak untuk indonesia kedepan , calon pemimpin yang pas prabowo gibran akan tidak di pandang remeh untuk negara lain , lanjutkan prabowo gibran menjadi pemimpin negara",0
2023-12-30T00:45:50Z,@samsulkamar3305,Wajarlah dulu dilembah hitam s3karang udh tobat. Dari pada toko sebelah gak sadar2. Apa tunggu megap2 dulu baru sadar.,0
2023-12-30T00:06:22Z,@iwankadeke9511,Pilihan ku prabowo dan gibran amin,0
2023-12-29T22:16:07Z,@user-di2zl9gx9j,"Barokallahu fiik,, Cak Imin... SlepetNomic",0
2023-12-29T21:51:16Z,@janairtoy4389,Hebat pak mahfud,0
2023-12-29T21:50:08Z,@kikiirawan9467,1dan 3 baca text😂😂😂😂😂,0
2023-12-29T20:35:52Z,@reynaldosiboro2521,"ngomong kok kumur kumur , jgn muluk muluk untuk mencari kemenangan rakyat egk bodoh emang uang m,u ada buat 40 kota , cak  cak....",0
2023-12-29T20:19:21Z,@jadul73,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=1h45m49s"">1:45:49</a> selamat datang, setor upeti. 😂😂<br><br>selama proses merintis usaha, akan dibimbingkah ?<br>giliran omzet tercapai langsung setor 0,5%<br><br>saat 4,8 naik jadi 11%<br>tidak perlu lapor spt, krn langsung di benchmark.<br>😂😂😂",0
2023-12-29T19:46:48Z,@diidsambas6963,Sayang sekali pak Mahfud dan Ganjar usungan pedeipeh..krna pedeipeh tidak perlu suara umak Islam..sombong makbanteng .jdi saya pilih amin..,0
2023-12-29T18:57:58Z,@supermean2294,"Itu ciri manusia muka dua, sok pro giliran ada maunya utk kpentinganya sok nolak ya ya ya itulah yg di sebut munafik ges",0
2023-12-29T18:14:21Z,@frenadi8119,"Gak heran saya dengan penguasa bicara sprti ini, padahal apa yg di bicarakan smua itu rakyat butuh bukti nyata dan hati hati janji janji itu smua akan di pertanggungjawaban kan di hadapan allah swt.",0
2023-12-29T18:04:37Z,@pondok191anyer3,"Saya sebagai pengusaha muda 29 tahun,,visi misi Gibran sangat cerdas,,saya pilih Prabowo gibran..❤",0
2023-12-29T18:01:17Z,@omzen2754,Gibran klo menang akan jdi penerus plonga plongo mempersulit Rakyat,0
2023-12-29T17:19:01Z,@sahabatiqiiee2233,ttap anies dan gus imin,0
2023-12-29T16:09:23Z,@vengkicandeval5934,"Plongo, Sejak kapan bea cukai kewenangannya sampe pengeluaran negra.. <br>Ditanya infrastruktur sosial malah bahas kebun binatang dan makan siang",0
2023-12-29T15:58:42Z,@itsmarii359,Bicara sih gampang tapi kenyataan nya blm tentu. Soal nya yg calon lurah aja awal manis udah jadi lurah pada hilang manis nya. Yg km butuh bukti bkn omdo,0
2023-12-29T15:58:10Z,@andirukendi6878,Gus imin cerdas tetap terbaik 1 Putaran saja AMIN Menang,0
2023-12-29T15:25:27Z,@user-ok6wt9cw4l,Cak cak kocak😂,0
