publishedAt,authorDisplayName,comments_data,likeCount
2023-12-30T17:12:43Z,@fadlysa2501,"Menurut pandangan saya setelah nonton debat ini, cawapres no 2 kayaknya gaenak buat diajak diskusi karena pembawaannya ga nyantai, emosian, dan terlihat meremehkan lawan bicara",0
2023-12-30T16:34:00Z,@halimtech8206,blimbing sayur sama persis dengan lontong sayur,0
2023-12-30T15:58:22Z,@andreansyah8517,"Ya Allah,, binasakan lah siapa pun yg berniat curang di pemilu 2024 akan dtg,,, laknat lah mreka ya Allah🤲🤲🤲🤲",0
2023-12-30T15:43:27Z,@mapledent4231,Love u indonesia❤,0
2023-12-30T14:15:00Z,@phonemarketpedan7509,"SAYA PILIH PRABOWO... KRN ORANGNYA TEGAS, SIAP MENGEMBAN AMANAH<br>-<br>-<br>-<br>-<br>-<br>-<br>TAPI ITU DULU.... SEKARANG SORRY YEEEE",0
2023-12-30T02:35:48Z,@yulitrianika5606,selepet ap,0
2023-12-29T17:38:12Z,@sheenstudioofficial569,"mas Gibran Pesan saya jangan Heran jika nanti banyak yang Hujat, Banyak Yang Nyari2 Kesalahan, Seperti Bapak Jokowi Jadi Orang No 1. Banyak Jobaanya , SALAM 2 JARI",0
2023-12-29T12:31:14Z,@adibaprameswari4570,"Kesini karena ada isu bisikan &quot;sudah&quot; Saya pikir hanya isu yg disebar dari paslon lawan tak tahunya benar ada di menit <a href=""https://www.youtube.com/watch?v=YzC828FYrwM&amp;t=2h22m39s"">2:22:39</a>",0
2023-12-29T10:25:25Z,@wisnumandoyo2222,"<a href=""https://www.youtube.com/watch?v=YzC828FYrwM&amp;t=29m17s"">29:17</a><br><a href=""https://www.youtube.com/watch?v=YzC828FYrwM&amp;t=34m11s"">34:11</a><br><a href=""https://www.youtube.com/watch?v=YzC828FYrwM&amp;t=38m55s"">38:55</a>",0
2023-12-29T05:14:07Z,@miswan1019,Capres dan cawapres bahas juga donk pinjol yg mereshakn judi alot yg meresahkan juga harus di berantas .. patroli cyber kudu di tingkatkam,0
2023-12-29T01:42:29Z,@bhayusuper7106,"Tidak percaya dengan netralitas kapeu.<a href=""http://www.youtube.com/results?search_query=%23kamimuak"">#kamimuak</a>",0
2023-12-28T18:30:15Z,@AhmadIshaq-bn2ym,Arti SGIE<br><br>Suka<br><br>Gibran<br><br>Itu<br><br>Enak<br><br>🎉😂🎉,0
2023-12-28T14:27:05Z,@najmialfath5502,Woi KPU ANAK BUAH JOKOWI KAU JANGAN BIADAB ITU PRABOWO 71 TAHUN UDAH KETUAN DAN S  GIBRAN ANAK MAJIKAN LO JUGA KURANG 40 MKMK SUDAH CACAT HUKUM KO BISA LOLOS GIMANA KAU INI KPU,0
