publishedAt,authorDisplayName,comments_data,likeCount
2023-12-31T02:33:01Z,@endangsuhara5563,🎉,0
2023-12-31T02:33:01Z,@endangsuhara5563,🎉,0
2023-12-31T02:02:13Z,@user-nv7lf7fo8m,No.1 banyak kata 😂,0
2023-12-31T01:42:54Z,@joe_plethok,...tak perlu lah tapi   rekam jejak  dan capaian  ( ciriculum vitae )  sudah cukup membuktikan,0
2023-12-30T19:43:39Z,@andininuraulia967,R😮😢 tren yang banyak digunakan di,0
2023-12-30T19:00:53Z,@santoriyadiriyadi4132,Saya rakyat kecil menilai yg  muda lebih berbobot kelas internasional cara menjawabnya yg tua kaku cara bicaranya deh kayak jaman no  saya kira cuma bicara mennyudut kan gak gagasan sama sekali . Artinya tak layat yg tua untuk kelas nasional ibarat bobil tua yg butuh perawatan ngak siap langsung di pakai.,0
2023-12-30T17:03:14Z,@Aguskentus99,Wahai pemerintah.. gimana dengan masalah relawan ganjar yang di aniaya TNI Di boyolali tolong tegaskan.. cuma gara gara ikut kapanye dan di hadang lali di aniaya di depan yunif 408,0
2023-12-30T16:49:04Z,@WarungGaming-br8xi,Apa janji saya !!!,0
2023-12-30T12:31:39Z,@abethitamchannel567,"saya  hormat sama semuanya, saya tidak memilih partainya tapi saya melihat sosok Mahfud <br>,moga bisa memberikan yang terbaik buat Indonesia Pak mahfud,amin",0
2023-12-29T17:33:59Z,@gedesujayana3479,Apakah tidak terbalik kunjungan wisatanya itu😁,0
2023-12-29T14:12:21Z,@user-xc4fz6yz3t,Gibran top...mewakili anak muda😊,0
2023-12-29T14:11:42Z,@yuliantipermanasari5772,"Mf, nomor 1 lihat cttn/gk ya.? Mf, bnrn nanya 🙏🏻",0
2023-12-29T12:00:13Z,@subkylatief8608,Mana nih pendukung nya pak anies dan pak muhaimin,0
2023-12-29T06:30:42Z,@igamawarni6913,"PRABOWO-GIBRAN INSYSA ALLAH 2024.. Bicara apa ada ada nya, realistis, ga pinter ngomong, ga sok religius..",0
2023-12-29T06:28:30Z,@igamawarni6913,"Yg di bahas ini tentang negara, bukan cari pemerintah buat pesantren.. kok pake kata2 slepet trs, lucuuu 😅",0
2023-12-29T04:48:12Z,@user-wg2ok5bm2b,Sy pilih prabowo gibran,0
2023-12-29T03:52:31Z,@user-mx8vz6ef4u,"Bolelah jawaban gibran, g ngawang2...",0
2023-12-29T02:57:54Z,@user-mx8vz6ef4u,Hadehh.. hrs kali itu slepet d ulang2..,0
2023-12-29T02:56:49Z,@user-pw5hn9uc7q,PAK MAHFUD JANGAN DI SEBUT KORUPTOR!!! SEBUTAN YG PANTAS NYA MALING UANG NEGARA (Perampok uang Negara ),0
2023-12-29T02:49:07Z,@user-pw5hn9uc7q,😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝,0
2023-12-29T01:29:59Z,@KaharapRunting,Apa di sebar data bang,0
2023-12-28T23:29:18Z,@igedengurahwidiantara2761,Wah 5 m. Pertahun. Mkin semngat hdi kades,0
2023-12-28T22:38:56Z,@AbiDarmono,Optimis pak Ganjar Mahfud menang satu putaran,0
2023-12-28T22:11:27Z,@KiKY-tq8iy,Gibran kayak org odgj......kayak bapaknya.  Bodoh. Korupsi,0
2023-12-28T21:52:35Z,@bokierpunkrock5749,Kebanyakan infrastruktur eh sayangnya masih banyak masyarakat kita yang tidak teratur dalam banyak hal. 😢😢😢😢😢 kebersihan akhlak moral pendidikan kebijakan hukum pemerataan dll. Ingat wir manusia hebat berasal dari lingkungan yang spesial.  Depot purnama gak pernah buka cabang wirrr,0
2023-12-28T21:29:50Z,@fuadrizqi441,Licik,0
2023-12-28T18:22:29Z,@user-xq2du6bk9w,Hadeh ada ada aja apa ini hanya omong kosong doang manis di awal doang kaya omongan pacar aku di pertengahan dan di akhirnya mah langsung pait kaya kopi tanpa gua😂😂😂,0
2023-12-28T18:17:58Z,@FaisolArrozi-qf8kx,"Slepet nya jangan terlalu banyak Pak,ntar Keslepet Sendiri lho.......",1
2023-12-28T17:56:35Z,@yaryor1309,panggah 2 perabowo gibran gemoy❤❤❤,0
2023-12-28T17:13:18Z,@aeliyahhasan8120,😂😂😂😂kelicikandi portontokan,0
2023-12-28T16:26:40Z,@sanga_studio,❤❤❤❤❤❤❤❤❤❤❤❤❤,0
2023-12-28T12:25:06Z,@mariasanu3068,Untuk capres dan cawapres mohon utk jgn pembangunan berupa gedung sj yg di perhatikan tp fasilitas. Kalian selalu bcr SDM rendah tp nyatanya kami bekerja dgn fasilitas penunjang yg minim. Gaji kecil tp hrs sisihkan utk memfasilitasi diri sendiri utk bekerja di instansi pemerintahan negeri ini. Kita sebagai PNS mungkin mmng wajib kerja dan berkorban tp apakabar mereka yg honorer? Tolong untuk di perhatikan. Dan stop bikin aturan&quot; yg labil!  Kami bingung dengan kelabilan pemimpin&quot; negara ini 🙏,0
2023-12-28T03:05:40Z,@ekofirmanansori2093,All in Prabowo,0
2023-12-28T00:28:34Z,@abimanaf1829,Pak mahfud dan cak imin kok Gk nyambung yak jawaban nya,0
2023-12-27T23:49:54Z,@biasby961,"<a href=""https://www.youtube.com/watch?v=pNVtiDT8nVM&amp;t=2h18m21s"">2:18:21</a>",0
2023-12-27T16:03:01Z,@estherjo9371,Gibran keren banget cuii ❤🙏,1
2023-12-27T14:12:53Z,@cutputriazina5840,"sepengetahuan saya,, pekerjaan bendungan y menjadi program pemerintah sekarang y ktnya membantu petani,, tapi kenyataanny malah mengorbankan para petani didaerah saya,, akibat proyek bendungan y gagal/belum selesai sampai berakhir masa tugasnya,, para petani didaerah saya banyak y tdk turun k sawah akibat airnya tdk ada,, benduangan dimaksd adalah waduk kertoe,,,,,",0
2023-12-27T12:56:07Z,@sebentarsaja1138,Menit 1.11 14 host laki-laki bilang apasih yang silahkan berikan apresiasi &amp; oplos blobloe,0
2023-12-27T10:21:55Z,@KEMBERJPN,Mas gibran sudah mewakili suara generasi anak muda… <br><br>Semoga terpilih😇🤲,32
2023-12-29T02:38:53Z,@user-pw5hn9uc7q,"SETUJU !!! MEWAKILI PEMBAGIAN BELIMBING SAYUR DAN ASAM SULFAT<a href=""about:invalid#zCSafez""></a>",0
2023-12-27T09:20:48Z,@komangyoga-lr4yq,ayo kita dukung,0
2023-12-27T08:31:43Z,@nirmala2196,"Visi misi mah cuma didepan aja sebelum jadi udah biasaaaa dari dulu juga gtu,,setelah jadi yaa lupa😅sama aja sih ketiga nya,cuma ya krna kami sekeluarga secinta itu dg pak prabowo maka kami akan tetap pilih pak prabowo maw menang atau kalah lagi tetap pilihan kami pak prabowo",0
2023-12-27T06:47:34Z,@endika8520,"Sudah terlihat kan siapa yg lancar, tenang dan tak tersulut emosi selama debat?",7
2023-12-27T05:54:52Z,@ahmadtaufik2953,02❤,1
2023-12-27T03:42:18Z,@user-og4pc2lp4k,Nmr 1 dan 3 banykan janji janji dan janji <br>Pintar ngomong krja nol,0
2023-12-26T22:20:52Z,@bilqis9723,"Kayak pak, caimin dalam menjawB kayak, menghafal teks karna setiap menjawab coba perhatikanmatanyatidak melek coba paslon lain menjawab matanya tidak melek",1
2023-12-26T22:10:02Z,@bilqis9723,"Memang aneh paslon, nomor 1 betul yang dikatakan mas gibran pak cairin tidak konsisten atas janjinya yaang dilihat masyarat indinesiabahwa calming sudah ikut memotong tumpen kok dalam debat kok melenceng jadi kami dari masyarakat kaltim tidak mendukung sedikit seperti Pak anis saja sudah gagal membangun DKI",1
2023-12-26T22:06:12Z,@bilqis9723,"Memang mas gibran sangat jitu dalam, menjawab pertanyaan yang sudah disiapkskan bpk- Bpk  KPU",3
2023-12-26T21:16:40Z,@user-yz8mt1bi6w,Pak mahfud MD mismilahhhh,0
2023-12-26T16:30:49Z,@rahmaws.7063,Coklat adalah band yang selalu menjadi langganan kalau acara begini 😂,6
2023-12-26T16:02:31Z,@saifulhuda4183,Slepet kepet,0
2023-12-26T14:07:34Z,@haryadibalida5754,Saya ingin semua guru guru di gajih.karna tanpa seorang guru tidak akan ada generasi emas.,3
