publishedAt,authorDisplayName,comments_data,likeCount
2023-11-22T03:34:26Z,@user-jt4hx5ky7i,Yg nyalon ibu megawati atau pak ganjar nihh.. 😅,0
2023-11-21T13:09:07Z,@Paijo-wx9id,Ruwet amat tu,0
2023-11-21T13:08:24Z,@Paijo-wx9id,Ruwet amat hidup it,0
2023-11-19T18:38:45Z,@akbaraidil3455,"Sekalian Masuk Got buat Pencitraan, emang ada orang dungu yg masih percaya 😅",0
2023-11-19T13:28:36Z,@shanicelarissa2951,Indonesia Timur makin yakin pilih Prabowo - Gibran 💪👍,0
2023-11-19T04:57:16Z,@ricoariwijaya1070,Ini pemilihan negara loh.. bukan pemilihan RT.. Seandainya Prabowo sama Mahfud mungkin masih oke lah..  tapi kok.. ah sudah lah.. moga yg terbaik buat bangsa kita.. AMIN..,0
2023-11-18T17:29:19Z,@anitawidiati6684,Semoga siapapun yg terpilih akan mejadikan amanah bangsa,0
2023-11-18T13:12:23Z,@user-tx4mj9xw3c,itu ema banteng diem aja minder dia,0
2023-11-18T13:12:03Z,@user-tx4mj9xw3c,itu ema banteng diem aja minder dia,0
2023-11-18T08:18:28Z,@anisarahmawati8162,Teriak teriak nyuruh minggir😭,0
2023-11-18T03:30:32Z,@rumputij5469,"Yg atas tenang aja aman, terlihat damai saja,<br>  Ada seorang suka bikin keruh kayak exting pake nangis, kayak hasto😆",0
2023-11-18T02:44:06Z,@novandita9071,"elaktibilitas keasang lansung m,eroket setelah di rendahkan wkwkwk",1
2023-11-18T01:44:14Z,@normastuah6537,Mereka yg akan terpilih adalah saudara kita. Legowo aja<br>Saling dukung,0
2023-11-18T00:09:39Z,@RoelRoel-ky7cb,Urusan maaf memaafkan lawan Prabowo jagox.,0
2023-11-17T22:09:22Z,@edisyahputra3456,Trick murahan  .............,0
2023-11-17T19:04:39Z,@sryonoo8877,Tetep PEABOWO GIBRAN,0
2023-11-17T18:23:11Z,@user-sg7sb8rc9t,Insyaallah AMIN RI 1,0
2023-11-17T16:39:07Z,@ronysihatupang3751,Membangun narasi playing victim. Tahu aku😂. Kayak sudah dibuat drama,0
2023-11-17T07:36:30Z,@user-mr7qs9uf4k,MANTAP AKHLAK GIBRAN DAN KAESANG KO MEGAWATI CUEK SIH KAMI PRABOWO &amp; GIBRAN NO 02,0
2023-11-16T12:25:12Z,@CENIiLwae,Ganjar terlihat senyum penjilat sm nenek itu😊,0
2023-11-16T10:55:23Z,@bakribetuahchannel5805,Salaman yg hanya jadi simbol basa basi....dalm lubuk dapat d duga... Dlm hati siapa yg tau😅😅😅<br>Inilah demokrasi Indonesia yg sudah terhakis,0
2023-11-16T07:50:13Z,@AhmadRifai-kw7ew,Alang sombong megawsti positip masok kandang kerbau tahun depan gk bkal menang lg gk dy yakin,1
2023-11-16T06:03:01Z,@mrbenzinfo3119,"Semoga yg terpilih bisa membawa Indonesia lebih baik, baik ekonomi  sosial budaya dan militer. Amin.",0
2023-11-16T05:39:19Z,@fatmahdadan4107,Pokus ke mas gibran sama kaisang kalem Dan Adab,0
2023-11-16T03:36:38Z,@cakrabuana883,Super Nice Pak Haji Prabowo......silahkan Rakyat indonesia monggo menilai Pemimpin mana yg memiliki etika sopan santun dan penuh persahabatan sesama anak bangsa 😂😂😂,0
2023-11-15T23:55:08Z,@mochammadzaini2092,"Sayang watak Mak Kebo ya seperti itu tdk menunjukkan identik seorang ibu yg bs dibanggakan. Ahklaqnya kurang terpuji...<br>Saya melihat perilaku Mak Kebo kadang geregeten jg, masa ada yg mau bersalaman sj tdk direwes. Tdk bs jd contoh tauladan yg baik.",0
2023-11-15T23:53:09Z,@bookstoreBandung-jk1hu,Ko lucu ya,0
2023-11-15T23:06:43Z,@tandriatmajaya7512,Sungkemnya kok kebetulan banyak partai ato orang,0
2023-11-15T22:27:59Z,@AEkaMaulanaIshaq,"<a href=""https://www.youtube.com/watch?v=a4mbKBSQ3Io&amp;t=0m53s"">0:53</a> ada keamanan KPU mempersilahkan Ajudan/Bodyguard tamu yg hadir tuk beralih geser ke samping karna menghalangi kamera, awal nya tak mau, akhirnya..<br>Hebat langsung minggir dibantu ajudannya pak Prabowo..🤣👍",0
2023-11-15T20:55:25Z,@akaquotes1827,Indahnya pesta demokrasi skrg❤,0
2023-11-15T18:56:20Z,@MRKINGS25,Salfok sama suara reporter,0
2023-11-15T17:22:48Z,@bakoelwifitop5489,Mantaaap Prabowo Gibran ALLL INNN DAH,0
2023-11-15T17:19:44Z,@tartoautar6254,Kaesang calon pemimpin ibukota jakarta,0
2023-11-15T17:09:43Z,@Misterius2025,"Kayaknya bener Bang Mandra,,, &quot;Sombong Amat&quot; <br>😂😂😂😂😂",0
2023-11-15T16:39:11Z,@RianNugraha-ho7rn,Kaesang meledek Megawati... Aku keluar dari PDIP tapi skrg jadi ketua UMUM PSI.. nenek jangan marah ya..🤣🤣🤣,1
2023-11-15T16:30:18Z,@nasihudin7248,Kaesang santuy,0
2023-11-15T15:43:07Z,@user-hy7np3pr1w,No 2 pasti menang ❤,0
2023-11-15T15:25:48Z,@edykusman6924,Tidak punya malu anak ingusan,0
2023-11-15T15:25:22Z,@mahjatmahrun704,Sehat sllu ibu  Hajah megawati sukarno putri beliau  Ibu bangsa kita patut kita hormati,0
2023-11-15T15:05:16Z,@herryboenawan6024,❤️❤️ Prabowo Gibran Capres &amp; Wacapres RI 2024 yakin pastii menaang 👏👏❤️❤️ Prabowo Gibran Capres &amp; Wacapres RI 2024 yakin pastii menaang 👏👏,1
2023-11-15T15:04:55Z,@herryboenawan6024,❤️❤️ Prabowo Gibran Capres &amp; Wacapres RI 2024 yakin pastii menaang 👏👏❤️❤️ Prabowo Gibran Capres &amp; Wacapres RI 2024 yakin pastii menaang 👏👏,1
2023-11-15T14:55:03Z,@erdionujang7554,"Seandainya saya jadi Kaesang saya tidak akan sungkan pada Megawati karena Kaesang bukan kader PDIP,dan juga Kaesang setara dgn Megawati sama2 ketua umum partai",0
2023-11-15T14:52:18Z,@user-tr7tw4fc6o,Prabowo,0
2023-11-15T14:44:49Z,@cam-vm9md,"Ahhh kelindungan ibu2 Pakai jilbab ini videonya ,jadi gimana pas kaesang datangi ibu mega apakah berjabat tangan apa tidakk😅",0
2023-11-15T14:41:55Z,@mangisisirait4026,"Jelas adabnya , jelas ahklaknya ,<br>Barang siapa yg sanggup merendahkan diri dia akan ditinggikan , dan barang siapa yg merasa paling raja dia akan dipermalukan.<br>Salam 2 jari Prabowo - gibran",0
2023-11-15T14:39:28Z,@erwinsaputro6398,Prabowo  gibran paling sopan,0
2023-11-15T14:38:06Z,@erwinsaputro6398,Menghormati lah itu orang tua,0
2023-11-15T14:38:05Z,@arinikeiko9220,Prabowo gibran all in,0
2023-11-15T12:02:29Z,@bernadete54,Salaman symbol saja yg diatur san sutradara p Lurah jelas MK hsl kerja kerasnya drama2 Drakor2 sinetron2 oleh sang Sutradara jgn pd terlena ingat aktor p Lurah😅😅,0
2023-11-15T10:48:46Z,@daennarish,Prabowo nomor urut berapa?,1
2023-11-15T10:02:43Z,@virtuinc7298,"Anak2 Jkw sungkem ke Megawati, untuk lalu kemudian akan nikem (menikam) dengan menargetkan gerus suara kandang banteng.",0
2023-11-15T09:30:16Z,@ahmadrifai236,Semoga yg menang no urut 1 .. pemerintah baru  kalo yg no 2 dan 3    lima tahun lg saja....bagi bagi kekuasaan jangan pdi terus,0
2023-11-15T09:29:28Z,@alezidadi,"Saya ninton  youtube ini ,nangis dan haru semoga bangsa ini selalu di Ridihoi Allah subhanahuqata,ala. Jayalah NKRI damai dan sejuk",0
2023-11-15T08:47:35Z,@rojaliaja4080,Maunya begini terus buang duit rakyat NKRI,0
2023-11-15T08:45:36Z,@rojaliaja4080,Intinya pada takut kalah cemen,0
2023-11-15T08:44:07Z,@defriyantodefri8106,Mahfud ko gk disalamin ya,0
