publishedAt,authorDisplayName,comments_data,likeCount
2023-11-22T16:58:10Z,@user-lc3kj2vy5m,Ini terasa ndak adel cara komentarnya,0
2023-11-22T14:24:48Z,@triiriani5844,Ingat pak Prabowo..sdh lansia banget lho...jgn joget&quot; nanti sendi&quot; pada protol..makanya cawapres cari yg muda..untuk menjaga..yg satu lansia satunya pos Bindu..klo ke pos yandu bisa bareng&quot; tes kesehatan,0
2023-11-22T13:40:26Z,@usmanumar9570,Joget joget stres atau mengejek,0
2023-11-22T13:25:35Z,@user-be2mu1ke2p,Aduh mbah prabowo.sudah.<br>Tua nambah gaya.kaya.abg.<br>Tua.goyang gemoynya,0
2023-11-22T12:07:06Z,@djoeazkadina6094,Nii❤❤😅😅,0
2023-11-22T09:25:56Z,@rubiahrubiah932,Bismillah Ganjar n Mahfud insyaallah semoga menang satu putaran aamiin yra.,0
2023-11-22T05:31:09Z,@SusiGotik-km2um,😂😂😂 Mas WoWo emang Enjo  broww,0
2023-11-22T05:22:27Z,@SusiGotik-km2um,Alhamdulillah dukungan untuk PRABOWO GIBRAN RI1 MENGGUNUNG,0
2023-11-22T03:34:35Z,@agungboy5546,"sebelum gibran maju jadi cawapres belum terlihat siapa yg akan menang pilpres, setelah maju semua sudah terang benderang siapa yg akan menuju R1",0
2023-11-21T23:28:18Z,@jendelawawa9545,"Teringat masa lalu, nomer 1 PPP, nomer 2 Golkar, Nomer 3 PDI. Sekarang Nomer 1 PKB cs., Nomer 2 Golkar Cs, Nomer 3 PDIP cs. Dan sejarah membuktikan dg segala faktanya, Nomer 2 selalu menang mutlak. Sepertinya, ini menunjukkan npmer 2 akan menang 1 putaran... 🚀💌",0
2023-11-21T16:55:40Z,@SukimanSkm-pn7uz,Riang gembira ..ya enggaklah itu hanya untuk menghilangkan setres MENGHIBUR DIRI krn gk punya ISTRI ...,0
2023-11-21T15:41:10Z,@purtadiapuryadia9672,"Prabowo memang riang gembira masalah nya sudah ada yang kerja yaitu jokowi,,, prabowo tidur aja manang sudah di pastikan jokowi akan menggerakkan seluruh institusi negara untuk kepentingan kekuasaan nya,,,, tidak perlu orang pinter untuk menganalisis itu saya yang bodohpun tau itu hahaha tapi apa apa pun apa iya orang indonesia yang katanya pinter pinter memilih pemimpin hasil kkn ini pertanyaan yang harus di jawab nanti hahaha,,,, sudah sampai jaman edan lek melu edan ora kumanan tapi sak bejo bejone uwong sing edan isih bejo uwong kangastiti lan waspodo,,,,, hahaha,,,, yang mahu ikut edan silakan,,,,",0
2023-11-21T15:00:17Z,@noerainishowkatahmad5094,Halah nggedabrus si tukang ngeramal<br>Emang tebakan anda sudah PASTI sama dg apa yg org anda tebak???,0
2023-11-21T12:58:13Z,@joyomeselan8029,Santun adem pret.,0
2023-11-21T11:26:42Z,@nuralifah5248,Maba ada  pemilu gembira kok main intimidasi copot baleho lawan  dg salah gunakan aparat negara itubmenjijikkan,0
2023-11-21T11:01:10Z,@suryadisaragi967,Yg pertama seimbg trimkasih harus brgndengan tgn ga sepihk yg merinang harusemua ya seimbg satuditegor duadua ditgur disapa itu brgndgn tgn harusbersatu,0
2023-11-21T10:34:11Z,@firmanmuda8268,"Gestur lagi, gestur lagi.<br>Ada gestur yang menunjukkan kejujuran gk ya ???????",0
2023-11-21T10:22:28Z,@rachelhutasoit4642,Destiny Tuhan Yeshua Hamaziach Prabowo Subyanto Presiden RI Th 2024 Amiiiiin,1
2023-11-21T08:04:59Z,@user-gc9ki2cq8y,Prabowo gibran .  yg bisa berani . mempertahan kan NKRI .  dari tekanan barat .,0
2023-11-21T07:17:21Z,@asmawi59,Bret kentut,0
2023-11-21T06:23:06Z,@user-yz9vg1tp5f,Enggak pengaruh Prabowo no brp yg penting udah lolos. Presiden dipilih oleh presiden. Apapun yg terjadi tetap Prabowo dipilih oleh presiden harus jadi presiden apapun caranya yg terpenting harus jadi presiden 😂😂😂😂,0
2023-11-21T06:14:44Z,@Addee-dd8nn,Ga ada gagasan <br>Yg penting joget joget gemoy<br>Menjijikan ...,0
2023-11-21T05:27:10Z,@BaksoBakar-js1rf,pak bagaimana cara cepat untuk mengentaskan kemiskinan?<br>SENYUMIN AJA<br>JOGETIN AJA,0
2023-11-21T05:21:10Z,@bastokbastik1960,Gestur seperti orang gila,0
2023-11-21T03:28:31Z,@paulinatapipatuli5175,Prabowo menari terus,0
2023-11-21T03:25:38Z,@ikrosutini8177,Ayo kita pindah ke prabowo  saja tinggal kan yg sombong2 ya,0
2023-11-21T02:20:41Z,@sugengsutrisno3164,Pihak lawan yg sllu menyerang  jkowi itu kn jadi bulnder akan mnggerus survei,0
2023-11-20T18:25:52Z,@sumiaregar1562,Sok tahu juga mbak ini subjektif bangat seperti sdh dikondisikan... 😢😢😢,0
2023-11-20T16:45:53Z,@ucigalur9041,Asyiiik Prabowo gemoyy....😃😃😃,0
2023-11-20T12:01:52Z,@fendySSS,"🇮🇩🇮🇩Milih Capres yg Bernafsu mengambil kekuasaan, meskipun sdh berkali2 dicoba? Gak bahaya ta??? ..... Mari gunakan logika untuk memilih Capres Cawapres kita 🙏🙏🇮🇩🇮🇩",0
2023-11-20T10:47:41Z,@BaYan-fe7hs,CAPRES KOK JOGET2 GK PUNYA WIBAWA,0
2023-11-20T10:24:28Z,@lilymarlene2476,Ganjar is the best...,0
2023-11-20T10:21:15Z,@gogolalikroto704,pra gib gas keunnnnn 💪🇮🇩,0
2023-11-20T10:03:27Z,@user-mh5fy5hw8p,Ganjarlah yg hebat,0
2023-11-20T09:14:21Z,@lalunasrun539,"Kan tidak harus joget joget,. Misalnya ganti dengan senyum, salam dan sapa.",0
2023-11-20T08:19:23Z,@daummtotong9415,Haaaa ha ha ... setelah Calon pendampingnya aman dari jerat Konstitusi baru ngomong begini ... tapi dia PAHAM &amp; MAU MEMAHAMI  nggak  jika pendampingnya maju atas  hasil putusan MK yg  MELANGGAR ETIKA JABATAN sebagaimana putusan MKMK  😂😂😂,0
2023-11-20T08:12:01Z,@herlinabutar-butar9596,Jiaaaaahhh<br>TV One mah ketauan ada di mana...,0
2023-11-20T07:57:32Z,@suparno4247,Kl orang jawa ini orang lepas dr rumah  sak*t,0
2023-11-20T07:50:36Z,@pertiwikrisnawanti3302,Tp menurut wirasat dr orang jawa kalau ada seseorang ke sensnganya berlebihan bakal ada sesuatu kesedihan,0
2023-11-20T07:36:12Z,@nuraisahanuar2478,Perempuan ini anak Tuhan ke? Semuanya tahu perempuan ini memperbodoh rakyat Indonesia dgn apa yg di omongkan nya ooh menakut kan,0
2023-11-20T07:03:40Z,@kartomiarjo2500,"Ya sama ada kadrunya 1,2",0
2023-11-20T07:01:57Z,@rusdiimam4505,Wagu ya luurr,0
2023-11-20T06:54:42Z,@ranniahjahra1494,Amin 🤲🤲🤲 aja dulu yg lain lewat,0
