publishedAt,authorDisplayName,comments_data,likeCount
2023-12-21T10:24:24Z,@mariaanthonetahaedjingi,Siap LUBERS,0
2023-12-21T10:22:34Z,@mariaanthonetahaedjingi,Siap LUBERS,0
2023-12-18T18:09:55Z,@sudarbede3260,Dukungan d palestina itu pake tangan berdoa dan tangan mengepal keatas  bkan pake metal..,0
2023-12-18T18:02:15Z,@sudarbede3260,Gibran yg bikin plinplan pilih prabowo. 😂,0
2023-12-18T17:51:15Z,@daniyonodanitrenggalek178,Amin 🤝🇮🇩,0
2023-12-18T17:47:44Z,@daniyonodanitrenggalek178,Mana suaranya no. 2👍💪💵✋👳🧕🏻🧑‍🎓,0
2023-12-18T05:29:35Z,@aprizaluna2603,Ht mu sy gak..jgn bw2 km rakyat indonesia yg lainnya,0
2023-12-17T14:03:08Z,@budhysetiawan3638,Anis dan amin keduanya adalah pengkhianat,1
2023-12-16T00:10:49Z,@AhmadHidayat-tv3pp,RayAt jangan  ohongin terus   .. kapokkapok lah sudah tdk percaya lg .  Cepat sadar ingsap tawadu lah,0
2023-12-16T00:03:45Z,@AhmadHidayat-tv3pp,Bohong lah  cuman. Bisa.. nyata sekejap saja kapok  pi ngin perobahan  rayat mah,0
2023-12-15T23:56:33Z,@AhmadHidayat-tv3pp,Tidak pilih awal nya juga sudah dinasti   apa lagi pdi   sudah kapok bosen  banyak oli gargi nya..anies lah bisa mmimpin  indonesia,0
2023-12-15T09:57:10Z,@user-jd6sd7ze1m,gibran ngapain???,0
2023-12-14T16:29:05Z,@ulfiadjalaludin6774,&quot;Kejahatan akan menang bila orang benar tidak melakukan apa apa&quot; - Jendral Soedirman,0
2023-12-14T00:24:02Z,@user-vw4rv7tf9z,Indonesia membutuhkan sosok seorang prabowo,0
2023-12-12T17:01:26Z,@asthetarate8686,Ganjarrr tatap❤❤❤,0
2023-12-12T15:20:48Z,@KuamanhiayatHisayat,Kami mau insoneaia yg tida menyeng saratan rayat😂😂😂😂,0
2023-12-12T14:54:55Z,@user-sw6pf6go2e,"Pk wo ni selalu setuju dg apa yg di sampaikan oleh calon lain, percaya diri pk wo💪💪💪",0
2023-12-12T14:53:29Z,@user-sw6pf6go2e,Santai pk wo,0
2023-12-12T14:50:14Z,@user-sw6pf6go2e,Pk Anis senyum2 😂😂😂,0
2023-12-12T14:25:20Z,@eliyati0923,Bp Anies capres 2024,0
2023-12-12T14:23:24Z,@eliyati0923,1,0
2023-12-12T14:23:02Z,@lukisdinding8330,Anis,0
2023-12-12T14:11:09Z,@opppa3750,"Prabowo tampil secara alami dlm bahasa yg tdk d vuat buat,mantap Pak Prabowo semangat kami memilih mu",0
2023-12-12T12:33:05Z,@yuliusbelogoru6750,Waspadai radakalisme....,0
2023-12-12T07:18:54Z,@user-vx3cy3cd8u,Kami butu pemimpin yg bermutuh yg ada hadil nya jgn cuman ngomong to dan obral janji doang bosss maaf yaaah,0
2023-12-12T06:57:25Z,@vinivanili9405,anis ayo kita dukung,0
2023-12-12T06:56:31Z,@vinivanili9405,yes,0
2023-12-12T00:18:49Z,@agilagill9563,Jangan ada maunya saja jangan di kota saja yang menjadikan bukan di kota saja di desa-desa di Ploso Ploso dia yang menjadikan mau yang bagus di dunia dan akhirat nanti Jalan hanya di kota di kampung tidak ada kalau mau tahu saya kirimkan di kampung body Kamera apa enggak oke,0
2023-12-11T23:03:36Z,@AdeJunaidiSTC-Group,Keliatan tim no.1 ingin menyudutkan cawapress sebelahh😂😂😂.... Awas ke blundeeer,0
2023-12-11T16:41:37Z,@edwardmpggo3281,No 3 mantap,0
2023-12-11T05:08:58Z,@tiidah1262,Bru liat pak amin pendek ya😅,1
2023-12-10T23:50:02Z,@user-of2tb1il7l,Alhamdulillah amin no 1 insallah pasti menang❤,0
2023-12-10T18:56:22Z,@sadriansyah5489,Sepertinya hanya no. Urut 3 yg berkopeten utk memimpin indonesia.,0
2023-12-10T16:33:03Z,@user-ts1wp8us8i,semogat pak Anis,0
2023-12-10T15:55:32Z,@frengkisatrio9185,Ganjar Pranowo ok,0
2023-12-10T15:12:50Z,@user-vz6xr5ud4m,No3 mantap,0
2023-12-10T12:17:27Z,@yadiaja5847,"Perbaikin dulu jkt, jakarta saja amburadul mau memimpin Indonesia",1
2023-12-10T06:47:43Z,@user-dr5pz8xq6q,mega,0
2023-12-10T04:01:38Z,@ikramkhalifah2313,Bismilah semoga tepat tahun 2024 pak prabowo presidenku,0
2023-12-10T02:39:30Z,@hekilirik2656,Prabowo-gibran yes,1
2023-12-10T01:23:47Z,@syarifdini2983,Lah pak nanti cuma di bilang petugas parte pak,0
2023-12-09T07:29:02Z,@desipuji4279,Semoga pk anis jdi presidennya aamiin...,1
2023-12-09T05:53:17Z,@user-ni9ul6ls4w,Saya tetap no 1,1
2023-12-09T00:17:50Z,@user-pu2yn2kn4i,No urut 03 selalu di hati,0
2023-12-08T14:19:48Z,@radhityawidjayaa3359,APALAGI PAK PRABOWO PDO OMONGANE TDAK BERBO2T,0
